Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,TITLE,JOURNAL,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,ABSTRACT,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Phillips, CL; Gregg, JW; Wilson, JK",,,,"Phillips, Claire L.; Gregg, Jillian W.; Wilson, John K.",,,Reduced diurnal temperature range does not change warming impacts on ecosystem carbon balance of Mediterranean grassland mesocosms,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"Daily minimum temperature (T-min) has increased faster than daily maximum temperature (T-max) in many parts of the world, leading to decreases in diurnal temperature range (DTR). Projections suggest that these trends are likely to continue in many regions, particularly in northern latitudes and in arid regions. Despite wide speculation that asymmetric warming has different impacts on plant and ecosystem production than equal-night-and-day warming, there has been little direct comparison of these scenarios. Reduced DTR has also been widely misinterpreted as a result of night-only warming, when in fact T-min occurs near dawn, indicating higher morning as well as night temperatures. We report on the first experiment to examine ecosystem-scale impacts of faster increases in T-min than in T-max, using precise temperature controls to create realistic diurnal temperature profiles with gradual day-night temperature transitions and elevated early morning as well as night temperatures. Studying a constructed grassland ecosystem containing species native to Oregon, USA, we found that the ecosystem lost more carbon at elevated than ambient temperatures, but remained unaffected by the 3 degrees C difference in DTR between symmetric warming (constantly ambient + 3.5 degrees C) and asymmetric warming (dawn T-min = ambient + 5 degrees C, afternoon T-max = ambient + 2 degrees C). Reducing DTR had no apparent effect on photosynthesis, probably because temperatures were most different in the morning and late afternoon when light was low. Respiration was also similar in both warming treatments, because respiration temperature sensitivity was not sufficient to respond to the limited temperature differences between asymmetric and symmetric warming. We concluded that changes in daily mean temperatures, rather than changes in T-min/T-max, were sufficient for predicting ecosystem carbon fluxes in this reconstructed Mediterranean grassland system.",,,,,"Phillips, Claire/AGP-5674-2022","Phillips, Claire/0000-0001-9072-6806",,,,,,,,,,,,,1354-1013,1365-2486,,,,NOV,2011,17,11,,,,,3263,3273,,10.1111/j.1365-2486.2011.02483.x,http://dx.doi.org/10.1111/j.1365-2486.2011.02483.x,,,,,,,,,,,,,WOS:000296137000001,View Full Record in Web of Science
J,"Wei, N; Zhou, LM; Dai, YJ",,,,"Wei, Nan; Zhou, Liming; Dai, Yongjiu",,,Evaluation of simulated climatological diurnal temperature range in CMIP5 models from the perspective of planetary boundary layer turbulent mixing,CLIMATE DYNAMICS,,,,,,,,,,,,"This study examines the effects of modeled planetary boundary layer (PBL) mixing on the simulated temperature diurnal cycle climatology over land in 20 CMIP5 models with AMIP simulations. When compared with observations, the magnitude of diurnal temperature range (DTR) is systematically underestimated over almost all land areas due to a widespread warm bias of daily minimum temperature (T-min) and mostly a cold bias of daily maximum temperature (T-max). Analyses of the CMIP5 multi-model ensemble means suggest that the biases of the simulated PBL mixing could very likely contribute to the temperature biases. For the regions with the cold bias in T-max, the daytime PBL mixing is generally underestimated. The consequent more dry air entrainment from the free atmosphere could help maintain the surface humidity gradient, and thus produce more surface evaporation and potentially lower the T-max. The opposite situation holds true for the regions with the warm bias of T-max. This mechanism could be particularly applicable to the regions with moderate and wet climate conditions where surface evaporation depends more on the surface humidity gradient, but less on the available soil moisture. For the widespread warm bias of T-min, the widely-recognized overestimated PBL mixing at nighttime should play a dominant role by transferring more heat from the atmosphere to the near-surface to warm the T-min. Further analyses using the high resolution CFMIP2 output also support the CMIP5 results about the connections of the biases between the simulated turbulent mixing and the temperature diurnal cycle. The large inter-model variations of the simulated temperature diurnal cycle primarily appear over the arid and semi-arid regions and boreal arctic regions where the model differences in the PBL turbulence mixing could make equally significant contributions to the inter-model variations of DTR, T-max and T-min compared to the model differences in surface radiative processes. These results highlight the importance and need for accurate descriptions of the PBL processes with respect to the turbulent mixing in order to improve the temperature diurnal cycle simulations in climate models.",,,,,"Zhou, Liming/A-2688-2012","Zhou, Liming/0000-0002-7009-2487",,,,,,,,,,,,,0930-7575,1432-0894,,,,JUL,2017,49,1-2,,,,,1,22,,10.1007/s00382-016-3323-0,http://dx.doi.org/10.1007/s00382-016-3323-0,,,,,,,,,,,,,WOS:000403716500001,View Full Record in Web of Science
J,"Alto, BW; Wiggins, K; Eastmond, B; Ortiz, S; Zirbel, K; Lounibos, LP",,,,"Alto, Barry W.; Wiggins, Keenan; Eastmond, Bradley; Ortiz, Sara; Zirbel, Kylie; Lounibos, L. Philip",,,Diurnal Temperature Range and Chikungunya Virus Infection in Invasive Mosquito Vectors,JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,"Climate strongly influences the geographic distribution and timing of mosquito-borne disease outbreaks. Environmental temperature affects phenotypic traits of mosquitoes including vector competence for arboviruses mediated by changes in infection, extrinsic incubation period and in rates of transmission. Most experiments, however, are done at constant temperatures. In nature, mosquitoes are more likely to experience daily fluctuations in temperature. Here we compare disseminated infection (leg infection) and saliva infection of Aedes aegypti (L.) (Diptera: Culicidae) and Aedes albopictus (Skuse) (Diptera: Culicidae) from Florida following oral exposure to an Asian genotype of chikungunya virus emergent in the Americas. We evaluated experimentally the effect of variable temperature regimens on disseminated infection and saliva infection of these Aedes species. Each of three temperature regimes had approximately the same average temperature (27-28 degrees C), but differed in the magnitude of the diurnal temperature range (DTR). The large DTR was 8.0 degrees C (range 23-31 degrees C) and the small DTR was 4.0 degrees C (range 26-30 degrees C) which approximate ranges in different locations of Florida during July-October when risk of transmission is highest. The constant temperature was set at 27 degrees C. Testing three geographic populations of each mosquito species, significant effects on disseminated infection were detected for an interaction between temperature regime and geographic population for both Ae. aegypti and Ae. albopictus. There were no significant treatment effects of temperature, geographic population, or temperature by geographic population interaction on saliva infection for either mosquito species. Constant temperature resulted in a higher viral load in the saliva of Ae. albopictus, but not Ae. aegypti, compared to conditions where the temperature fluctuated.",,,,,"Zirbel Yanchula, Kylie/N-6835-2015","Zirbel Yanchula, Kylie/0000-0001-7673-2580",,,,,,,,,,,,,0022-2585,1938-2928,,,,JAN,2018,55,1,,,,,217,224,,10.1093/jme/tjx182,http://dx.doi.org/10.1093/jme/tjx182,,,,,,,,29040730,,,,,WOS:000422975600023,View Full Record in Web of Science
J,"Scriber, JM; Sonke, B",,,,"Scriber, J. Mark; Sonke, Brittany",,,Effects of diurnal temperature range on adult size and emergence times from diapausing pupae in Papilio glaucus and P. canadensis (Papilionidae),INSECT SCIENCE,,,,,,,,,,,,"With recent climate warming trends, both the increase in thermal variance (i.e., diurnal temperature range; DTR) as well as increased mean temperature may impact many different organisms, especially poikilothermic invertebrates. Predictions of insect developmental rates using degree-days (thermal unit accumulations above the developmental base threshold of the insect) are based on daily mean temperatures, regardless of DTR. However, non-linearity and variance in the means and extremes are often ignored. The role of thermal variance (e. g., daily temperature extremes and DTR) was evaluated experimentally for two swallowtail butterfly sister species using a common day/night photoperiod of 18 : 6 h photo : scoto-phase and corresponding daytime thermophase and nighttime cryophase periods of 22 : 22 degrees C (constant 22 degrees C), 24 : 16 degrees C, and 26 : 10 degrees C (all three treatments had the same daily mean and the same degree-day accumulations). Although developmental rates of post-diapause pupae were largely unaffected for both species, our results show that sizes in P. canadensis females (but not males) were smaller in the treatments with more variance (26 degrees C : 10 degrees C) compared to constant 22 degrees C. Such potentially significant impacts of size reduction in P. canadensis females were not observed in P. glaucus males or females under the same series of thermo-period treatments.",,,,,,,,,,,,,,,,,,,1672-9609,1744-7917,,,,AUG,2011,18,4,,,,,435,442,,10.1111/j.1744-7917.2011.01432.x,http://dx.doi.org/10.1111/j.1744-7917.2011.01432.x,,,,,,,,,,,,,WOS:000293455800007,View Full Record in Web of Science
J,"Liu, L; Li, ZQ; Yang, X; Gong, HN; Li, C; Xiong, AY",,,,"Liu, Lin; Li, Zhanqing; Yang, Xin; Gong, Hainan; Li, Chao; Xiong, Anyuan",,,The long-term trend in the diurnal temperature range over Asia and its natural and anthropogenic causes,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,,,,,,,,,,,,"Understanding the causes of long-term temperature trends is at the core of climate change studies. Any observed trend can result from natural variability or anthropogenic influences or both. In the present study, we evaluated the performance of 18 climate models from the Coupled Model Intercomparison Project Phase 5 on simulating the Asian diurnal temperature range (DTR) and explored the potential causes of the long-term trend in the DTR by examining the response of the DTR to natural forcing (volcanic aerosols and solar variability) and anthropogenic forcing (anthropogenic greenhouse gases (GHG) and aerosols) in the historical period of 1961-2005. For the climatology, the multimodel ensemble mean reproduced the geographical distribution and amplitude of the DTR over eastern China and India but underestimated the magnitudes of the DTR over the Tibetan Plateau and the high-latitude regions of the Asian continent. These negative biases in the DTR over frigid zones existed in most models. Seasonal biases in the DTR pattern from models were similar to the bias in the annual mean DTR pattern. Based on three selected state-of-the-art models, the observed decreasing trend in the DTR over Asia was reasonably reproduced in the all-forcing run. A comparison of separate forcing experiments revealed that anthropogenic forcing plays the dominant role in the declining trend in the DTR. Observations and model simulations showed that GHG forcing is mainly responsible for the negative trends in the DTR over Asia but that anthropogenic aerosol forcing was also behind the decreasing trend in the DTR over China and especially over eastern China.",,,,,"Li, Zhanqing/F-4424-2010; huang, gang/D-6427-2012; Gong, Hainan/R-2934-2019; Li, Chao/L-1915-2015","Li, Zhanqing/0000-0001-6737-382X; huang, gang/0000-0002-8692-7856; Gong, Hainan/0000-0002-6501-162X; Li, Chao/0000-0003-2556-0891",,,,,,,,,,,,,2169-897X,2169-8996,,,,APR 16,2016,121,7,,,,,3519,3533,,10.1002/2015JD024549,http://dx.doi.org/10.1002/2015JD024549,,,,,,,,,,,,,WOS:000375120200028,View Full Record in Web of Science
J,"Carrington, LB; Seifert, SN; Willits, NH; Lambrechts, L; Scott, TW",,,,"Carrington, Lauren B.; Seifert, Stephanie N.; Willits, Neil H.; Lambrechts, Louis; Scott, Thomas W.",,,Large Diurnal Temperature Fluctuations Negatively Influence Aedes aegypti (Diptera: Culicidae) Life-History Traits,JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,"Seasonal variation in dengue virus transmission in northwestern Thailand is inversely related to the magnitude of diurnal temperature fluctuations, although mean temperature does not vary significantly across seasons. We tested the hypothesis that diurnal temperature fluctuations negatively influence epidemiologically important life-history traits of the primary dengue vector, Aedes aegypti (L.), compared with a constant 26 degrees C temperature. A large diurnal temperature range (DTR) (approximate to 18 degrees C daily swing) extended immature development time (> 1 d), lowered larval survival (approximate to 6%), and reduced adult female reproductive output by 25% 14 d after blood feeding, relative to the constant 26 degrees C temperature. A small DTR (approximate to 8 degrees C daily swing) led to a negligible or slightly positive effect on the life history traits tested. Our results indicate that there is a negative impact of large DTR on mosquito biology and are consistent with the hypothesis that, in at least some locations, large temperature fluctuations contribute to seasonal reduction in dengue virus transmission.",,,,,"Carrington, Lauren/B-8269-2013; Lambrechts, Louis/A-2057-2010","Lambrechts, Louis/0000-0001-5958-2138; Carrington, Lauren Bree/0000-0001-9273-7912; seifert, stephanie/0000-0002-4397-6156",,,,,,,,,,,,,0022-2585,1938-2928,,,,JAN,2013,50,1,,,,,43,51,,10.1603/ME11242,http://dx.doi.org/10.1603/ME11242,,,,,,,,23427651,,,,,WOS:000313570600006,View Full Record in Web of Science
J,"Yang, F; Liu, FH; Rowland, G",,,,"Yang, Fei; Liu, Fei-hu; Rowland, Gordon",,,Effects of diurnal temperature range and seasonal temperature pattern on the agronomic traits of fibre flax (Linum usitatissimum L.),CANADIAN JOURNAL OF PLANT SCIENCE,,,,,,,,,,,,"Three cultivars of fibre flax (Linum usitatissimum L.), Viking, Argos and Ariane, were used to study the effect on various agronomic traits of diurnal temperature ranges (DIF) and seasonal temperature patterns (STP) applied throughout the crop growth period. Diurnal temperature ranges were set at 5, 10 and 15 degrees C with the same daily mean temperature and accumulated growing degree days (GDDa), under a parabolic STP. Seasonal temperature patterns were set following parabolic, anti-parabolic and quasi-horizontal configurations with DIF set at 10 degrees C. The results showed that DIF or cultivar had a significant influence on the biomass, plant height (PH), stem diameter (SD), length of technical stem (LTS), weight of technical stem (WTS), fibre weight (FW), fibre content (FC) and seed weight per pot (SWp). Seasonal temperature pattern also had a significant influence on these traits except for WTS and FW. Significant interactions were observed between DIF and cultivar, affecting all traits with the exception of FW, and between STP and cultivar, affecting biomass, PH, SD and WTS. Diurnal temperature range set at 10 degrees C was optimal for biomass, PH, SD, LTS, WTS, and FW, while DIF set at 5 degrees C benefited FC and SWp. Among the different SIP configurations, anti-parabolic pattern was optimal for biomass, PH, SD, LTS and FC, and the quasi-horizontal pattern best fit SWp. In conclusion, the combination of DIF set at 10 degrees C and anti-parabollic STP provided the most favorable temperature conditions for fibre flax growth, which is the situation with winter flax production in Yunnan, China.",,,,,,,,,,,,,,,,,,,0008-4220,1918-1833,,,,NOV,2013,93,6,,,,,1249,1255,,10.4141/CJPS2013-103,http://dx.doi.org/10.4141/CJPS2013-103,,,,,,,,,,,,,WOS:000328800400030,View Full Record in Web of Science
J,"MEARNS, LO; GIORGI, F; MCDANIEL, L; SHIELDS, C",,,,"MEARNS, LO; GIORGI, F; MCDANIEL, L; SHIELDS, C",,,ANALYSIS OF VARIABILITY AND DIURNAL RANGE OF DAILY TEMPERATURE IN A NESTED REGIONAL CLIMATE MODEL - COMPARISON WITH OBSERVATIONS AND DOUBLED CO2 RESULTS,CLIMATE DYNAMICS,,,,,,,,,,,,"Analysis of daily variability of temperature in climate model experiments is important as a model diagnostic and for determination of how such variability may change under perturbed climate conditions. The latter could be important from a climate impacts perspective. We analyze daily mean, diurnal range and variability of surface air temperature in two continuous 3 1/2 year long climate simulations over the continental USA, one for present day conditions and one for conditions under doubled carbon dioxide concentration, conducted with a regional climate model (RegCM), on a 60 km grid, nested in a general circulation model (GCM). Model output is compared with a 30-year daily observational data set for various regions of the USA. In comparison with observations the diurnal range in the model control run is somewhat too low although the daily temperature mean is often well reproduced. The daily variability of temperature is underestimated by the model in all areas, but particularly when and where the observed variability is relatively high. Causes for these underestimations are traced to deficiencies in the general circulation of the driving GCM. With: doubled CO2, both maximum and minimum temperatures increase, but the change in the diurnal temperature range (DTR) varies spatially and seasonally. On an annual average over the land domain, the DTR decreases by 0.25 degrees C. Changes in DTR are most strongly correlated with changes in absorbed shortwave radiation at the surface, which explains 72% of the variance in DTR on an annual basis. Change in evaporation was factor affecting DTR only in the summer when it explained 52% of the variance. The most significant findings with CO2 doubling are substantial decreases in daily variability in winter over large portions of the domain, and localized increases in summer. Causes for these changes are traced to fluctuations in the intensity and position of the jet stream.",,,,,"Giorgi, Filippo/C-3169-2013",,,,,,,,,,,,,,0930-7575,,,,,MAY,1995,11,4,,,,,193,209,,10.1007/BF00215007,http://dx.doi.org/10.1007/BF00215007,,,,,,,,,,,,,WOS:A1995RB41700001,View Full Record in Web of Science
J,"Laken, B; Calogovic, J; Shahbaz, T; Palle, E",,,,"Laken, Benjamin; Calogovic, Jasa; Shahbaz, Tariq; Palle, Enric",,,Examining a solar-climate link in diurnal temperature ranges,JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES,,,,,,,,,,,,"A recent study has suggested a link between the surface level diurnal temperature range (DTR) and variations in the cosmic ray (CR) flux. As the DTR is an effective proxy for cloud cover, this result supports the notion that widespread cloud changes may be induced by the CR flux. If confirmed, this would have significant implications for our understanding of natural climate forcings. Here, we perform a detailed investigation of the relationships between DTR and solar activity (total solar irradiance and the CR flux) from more than 60 years of NCEP/NCAR reanalysis data and observations from meteorological station data. We find no statistically significant evidence to suggest that the DTR is connected to either long-term solar periodicities (11 or 1.68-year) or short-term (daily timescale) fluctuations in solar activity, and we attribute previous reports on the contrary to an incorrect estimation of the statistical significance of the data. If a CR-DTR relationship exists, based on the estimated noise in DTR composites during Forbush decrease (FD) events, the DTR response would need to be larger than 0.03 degrees C per 1% increase in the CR flux to be reliably detected. Compared with a much smaller rough estimate of -0.005 degrees C per 1% increase in the CR flux expected if previous claims that FD events cause reductions in the cloud cover are valid, we conclude it is not possible to detect a solar related responses in station-based or reanalysis-based DTR data sets related to a hypothesized CR-cloud link, as potential signals would be drowned in noise.",,,,,"Shahbaz, Tariq/Z-3108-2019; Calogovic, Jasa/AAG-6040-2019; Palle, Enric/AAE-4492-2019","Shahbaz, Tariq/0000-0003-1331-5442; Calogovic, Jasa/0000-0002-4066-726X; Laken, Benjamin/0000-0003-2021-6258; Palle, Enric/0000-0003-0987-1593",,,,,,,,,,,,,2169-897X,,,,,SEP 25,2012,117,,,,,,,,D18112,10.1029/2012JD017683,http://dx.doi.org/10.1029/2012JD017683,,,,,,,,,,,,,WOS:000309416800003,View Full Record in Web of Science
J,"Yadav, BK; Shrestha, SR; Hassanizadeh, SM",,,,"Yadav, Brijesh K.; Shrestha, Shristi R.; Hassanizadeh, S. Majid",,,Biodegradation of Toluene Under Seasonal and Diurnal Fluctuations of Soil-Water Temperature,WATER AIR AND SOIL POLLUTION,,,,,,,,,,,,"An increasing interest in bioremediation of hydrocarbon polluted sites raises the question of the influence of seasonal and diurnal changes on soil-water temperature on biodegradation of BTEX, a widespread group of (sub)-surface contaminants. Therefore, we investigated the impact of a wide range of varying soil-water temperature on biodegradation of toluene under aerobic conditions. To see the seasonal impact of temperature, three sets of batch experiments were conducted at three different constant temperatures: 10A degrees C, 21A degrees C, and 30A degrees C. These conditions were considered to represent (1) winter, (2) spring and/or autumn, and (3) summer seasons, respectively, at many polluted sites. Three additional sets of batch experiments were performed under fluctuating soil-water temperature cases (21 <> 10A degrees C, 30 <> 21A degrees C, and 10 <> 30A degrees C) to mimic the day-night temperature patterns expected during the year. The batches were put at two different temperatures alternatively to represent the day (high-temperature) and night (low-temperature) times. The results of constant- and fluctuating-temperature experiments show that toluene degradation is strongly dependent on soil-water temperature level. An almost two-fold increase in toluene degradation time was observed for every 10A degrees C decrease in temperature for constant-temperature cases. Under fluctuating-temperature conditions, toluene degraders were able to overcome the temperature stress and continued thriving during all considered weather scenarios. However, a slightly longer time was taken compared to the corresponding time at daily mean temperature conditions. The findings of this study are directly useful for bioremediation of hydrocarbon-polluted sites having significant diurnal and seasonal variations of soil-water temperature.",,,,,"Hassanizadeh, S. Majid/AAC-5613-2022","Hassanizadeh, S. Majid/0000-0002-6473-9838",,,,,,,,,,,,,0049-6979,1573-2932,,,,SEP,2012,223,7,,,,,3579,3588,,10.1007/s11270-011-1052-x,http://dx.doi.org/10.1007/s11270-011-1052-x,,,,,,,,22865939,,,,,WOS:000307276400001,View Full Record in Web of Science
