Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Obermuller, BE; Morley, SA; Clark, MS; Barnes, DKA; Peck, LS",,,,"Obermueller, Birgit E.; Morley, Simon A.; Clark, Melody S.; Barnes, David K. A.; Peck, Lloyd S.",,,Antarctic intertidal limpet ecophysiology: A winter-summer comparison,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,,,,,,,,"The Antarctic intertidal zone is one of the world's most extreme marine environments. As well as having a typically high annual temperature variation (similar to 30 degrees C), it is affected by frequent ice scouring in summer and ice encasement in winter, as well as substantial salinity fluctuations during tidal cycles. For many years the Antarctic intertidal was believed to host only migratory species during summer, however, recent studies have found several permanently resident macrofaunal species, including the limpet Nacella concinna. Here we present results of the first seasonal comparison of different ecophysiological parameters in this species collected from the intertidal in both winter (August and September) and summer (January and February) on Adelaide Island (West Antarctic Peninsula). There was clear evidence of seasonal acclimatisation with a shift in thermal window between winter and summer limpets. The seasonal change in metabolic rate did not show increased costs in winter (cf metabolic cold adaptation) and the seasonal increase in oxygen consumption was within the range expected due to the physical effects of temperature alone. O:N ratios indicated that the animals were using the same metabolic substrate (mainly protein) all year round. There was no significant difference in condition factor between winter and early summer individuals. However comparisons with subtidal N. concinna showed that those from the intertidal had a lower condition factor than those permanently immersed. Whilst remaining in the ice-encased intertidal during winter may give access to ice-algae and microphytobenthos in the shallows and provide a feeding advantage early in the season, there are clearly extra costs to living in the intertidal per se. Hence N. concinna may not derive any obvious fitness advantage but may simply be occupying an available niche and surviving the physical challenges in the shallows. (C) 2011 Elsevier B.V. All rights reserved.",,,,,"Clark, Melody S/D-7371-2014","Clark, Melody S/0000-0002-3442-3824",,,,,,,,,,,,,0022-0981,,,,,JUL 15,2011,403,1-2,,,,,39,45,,10.1016/j.jembe.2011.04.003,http://dx.doi.org/10.1016/j.jembe.2011.04.003,,,,,,,,,,,,,WOS:000291770600006,View Full Record in Web of Science
J,"KUMAR, SR; AMEENULLA, S; PRABHU, A",,,,"KUMAR, SR; AMEENULLA, S; PRABHU, A",,,"MONTBLEX TOWER OBSERVATIONS - INSTRUMENTATION, DATA-ACQUISITION AND DATA QUALITY",PROCEEDINGS OF THE INDIAN ACADEMY OF SCIENCES-EARTH AND PLANETARY SCIENCES,,,,,,,,,,,,"Tower platforms, with instrumentation at six levels above the surface to a height of 30 m, were used to record various atmospheric parameters in the surface layer. Sensors for measuring both mean and fluctuating quantities were used, with the majority of them indigenously built. Soil temperature sensors up to a depth of 30 cm from the surface were among the variables connected to the mean data logger. A PC-based data acquisition system built at the Centre for Atmospheric Sciences, IISc, was used to acquire the data from fast response sensors. This paper reports the various components of a typical MONTBLEX tower observatory and describes the actual experiments carried out in the surface layer at four sites over the monsoon trough region as a part of the MONTBLEX programme. It also describes and discusses several checks made on randomly selected tower data-sets acquired during the experiment. Checks made include visual inspection of time traces from various sensors, comparative plots of sensors measuring the same variable, wind and temperature profile plots calculation of roughness lengths, statistical and stability parameters, diurnal variation of stability parameters, and plots of probability density and energy spectrum for the different sensors. Results from these checks are found to be very encouraging and reveal the potential for further detailed analysis to understand more about surface layer characteristics.",,,,,"Prabhu, Ananth/AAF-6949-2019",,,,,,,,,,,,,,0253-4126,,,,,JUN,1995,104,2,,,,,221,248,,,,,,,,,,,,,,,,WOS:A1995TE60900003,View Full Record in Web of Science
J,"Castaldi, C; Marchi, M; Vacchiano, G; Corona, P",,,,"Castaldi, Cristiano; Marchi, Maurizio; Vacchiano, Giorgio; Corona, Piermaria",,,Douglas-fir climate sensitivity at two contrasting sites along the southern limit of the European planting range,JOURNAL OF FORESTRY RESEARCH,,,,,,,,,,,,"Douglas-fir (Pseudotsuga menziesii (Mirb.) Franco) is an important exotic tree species that was planted across a large part of Europe during the last century. In both experimental trials and conventional forest plantations, the trees grow at a high rate and produce high-quality timber. The present study investigated climate-growth relationships of Douglas-fir at two Italian sites that contrast in climate: a Mediterranean area in southern Italy (Mercurella site) and a cooler, moister site in the northern Apennines without summer aridity (Acquerino). The relationship between tree-ring chronologies and monthly climatic variables was evaluated by a moving average and correlation analysis. Results showed that the minimum temperature in February and in March play a key role for Douglas-fir at both sites, with a positive effect on growth. At the northern site, it is also highly sensitive to late summer temperatures (negative correlation) and spring-summer precipitation (positive correlation). Growth rates in southern latitudes were high even in Europe and in the Mediterranean environment, with low sensitivity to climatic fluctuation. On the basis of our results, further common garden experiments should test adaptation and the interaction between genetics and environment of second- or third-generation seeds from old stands across Europe such as done by the old International Union of Forest Research Organizations (IUFRO) or the European Douglas-fir Improvement Research Cooperative (EUDIREC) experimentation programmes.",,,,,"Corona, Piermaria/G-1565-2011; Marchi, Maurizio/T-3813-2019; Vacchiano, Giorgio/C-4494-2008","Corona, Piermaria/0000-0002-8105-0792; Marchi, Maurizio/0000-0002-6134-1744; Vacchiano, Giorgio/0000-0001-8100-0659; castaldi, cristiano/0000-0003-1972-8416",,,,,,,,,,,,,1007-662X,1993-0607,,,,DEC,2020,31,6,,,,,2193,2204,,10.1007/s11676-019-01041-5,http://dx.doi.org/10.1007/s11676-019-01041-5,,OCT 2019,,,,,,,,,,,WOS:000488902700001,View Full Record in Web of Science
J,"Wolfe, GR; Hendrix, DL; Salvucci, ME",,,,"Wolfe, GR; Hendrix, DL; Salvucci, ME",,,"A thermoprotective role for sorbitol in the silverleaf whitefly, Bemisia argentifolii",JOURNAL OF INSECT PHYSIOLOGY,,,,,,,,,,,,"Accumulation of polyols in insects is well known as a cold-hardening response related to overwintering or to protection against cold shock. The silverleaf whitefly (Bemisia argentifolii, Bellows and Perring) is a major insect pest in tropical and subtropical regions where heat stress and desiccation pose formidable threats to survival. We found that sorbitol levels increased ten-fold when whiteflies were exposed to elevated temperatures. Sorbitol levels rose from 0.16 nmol whitefly(-1) at 25 degrees C to 1.59 nmol whitefly(-1) at 42 degrees C. Sorbitol levels fluctuated diurnally under glasshouse and field conditions increasing ten-fold from morning to early afternoon. Feeding experiments on artificial diets showed that both temperature and dietary sucrose concentration were key factors influencing sorbitol accumulation. Cell free extracts prepared from adult whiteflies catalyzed NADPH-dependent fructose reduction, but were unable to reduce glucose with either NADPH or NADH. Radiotracer experiments with labeled glucose and fructose showed that fructose was the immediate precursor of sorbitol. Thus, sorbitol synthesis in the whitefly is apparently unconventional, involving conversion of fructose by a novel NPLDPH-dependent ketose reductase. We propose that sorbitol accumulation is a mechanism for thermoprotection and osmoregulation in the silverleaf whitefly, allowing the insect to thrive in environments conducive to thermal and osmotic stress. (C) 1998 Elsevier Science Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,0022-1910,1879-1611,,,,JUL-AUG,1998,44,7-8,,,,,597,603,,10.1016/S0022-1910(98)00035-3,http://dx.doi.org/10.1016/S0022-1910(98)00035-3,,,,,,,,12769942,,,,,WOS:000074842300008,View Full Record in Web of Science
J,"Grant, JA; Villani, MG",,,,"Grant, JA; Villani, MG",,,Soil moisture effects on entomopathogenic nematodes,ENVIRONMENTAL ENTOMOLOGY,,,,,,,,,,,,"The effect of soil moisture on entomopathogenic nematode virulence was examined in the laboratory. Objectives were to determine the virulence of several species and isolates of entomopathogenic nematodes at various soil moisture contents and temperatures, and after fluctuations in soil moisture. Studies included up to five isolates of entomopath ogenic nematodes: Heterorhabditis bacteriophora Poinar (Oswego and Tuscarora strains), Steinernema glaseri (Steiner) (NC1 strain), S. feltiae (Filipjev) (Biosys 369 strain), and S. carpocapsae (Weiser) (NY001 strain). Nematodes were applied to sandy loam soils ranging in soil moisture content from below the permanent wilting point of plants to near saturation. In all experiments, a rainfall or irrigation event was simulated by adding water to rehydrate soils to high moisture levels (near saturation). Nematode virulence was evaluated periodically by measuring insect mortality in Galleria mellonella (L.) larval bioassays, before and after rehydration. Nematode virulence increased with soil moisture content for all species and isolates tested. Our studies demonstrated that the virulence of entomopathogenic nematodes in low moisture conditions could be restored by rehydrating the soil. Insect mortality was generally low in low-moisture, nematode-infested soils before rehydration, but increased to high levels posthydration. Moisture effects were evident from the onset of each experiment, whereas the effect of soil temperature on nematode-induced insect mortality was delayed and nonsignificant until 14 wk after the initiation of the third experiment.",,,,,,,,,,,,,,,,,,,0046-225X,1938-2936,,,,FEB,2003,32,1,,,,,80,87,,10.1603/0046-225X-32.1.80,http://dx.doi.org/10.1603/0046-225X-32.1.80,,,,,,,,,,,,,WOS:000181429900010,View Full Record in Web of Science
J,"Kombo, OH; Kumaran, S; Sheikh, YH; Bovim, A; Jayavel, K",,,,"Kombo, Omar Haji; Kumaran, Santhi; Sheikh, Yahya H.; Bovim, Alastair; Jayavel, Kayalvizhi",,,Long-Term Groundwater Level Prediction Model Based on Hybrid KNN-RF Technique,HYDROLOGY,,,,,,,,,,,,"Reliable seasonal prediction of groundwater levels is not always possible when the quality and the amount of available on-site groundwater data are limited. In the present work, a hybrid K-Nearest Neighbor-Random Forest (KNN-RF) is used for the prediction of variations in groundwater levels (L) of an aquifer with the groundwater relatively close to the surface (<10 m) is proposed. First, the time-series smoothing methods are applied to improve the quality of groundwater data. Then, the ensemble K-Nearest Neighbor-Random Forest (KNN-RF) model is treated using hydro-climatic data for the prediction of variations in the levels of the groundwater tables up to three months ahead. Climatic and groundwater data collected from eastern Rwanda were used for validation of the model on a rolling window basis. Potential predictors were: the observed daily mean temperature (T), precipitation (P), and daily maximum solar radiation (S). Previous day's precipitation P (t - 1), solar radiation S (t), temperature T (t), and groundwater level L (t) showed the highest variation in the fluctuations of the groundwater tables. The KNN-RF model presents its results in an intelligible manner. Experimental results have confirmed the high performance of the proposed model in terms of root mean square error (RMSE), mean absolute error (MAE), Nash-Sutcliffe (NSE), and coefficient of determination (R-2).",,,,,"Kombo, Omar H/S-7693-2017; Jayavel, Kayalvizhi/G-4484-2017","Kombo, Omar H/0000-0001-9359-0916; Jayavel, Kayalvizhi/0000-0002-6160-1374",,,,,,,,,,,,,,2306-5338,,,,SEP,2020,7,3,,,,,,,59,10.3390/hydrology7030059,http://dx.doi.org/10.3390/hydrology7030059,,,,,,,,,,,,,WOS:000581338400001,View Full Record in Web of Science
J,"Middleton, RJ; Reeder, BC",,,,"Middleton, RJ; Reeder, BC",,,Dissolved oxygen fluctuations in organically and inorganically fertilized walleye (Stizostedion vitreum) hatchery ponds,AQUACULTURE,,,,,,,,,,,,"We compared autotroph productivity and fish production in walleye (Stizostedion vitreum) hatchery ponds under two fertilization regimes. Three ponds were fertilized with inorganic N and P (experimental) and three ponds were fertilized with a combination of organic chopped hay, soybean meal, alfalfa meal, and inorganic N and P (control). Daily dissolved oxygen (DO) changes were monitored at three depths. Chlorophyll a concentrations and Secchi depth measurements were taken twice per week. Mean DO concentrations were significantly lower (P < 0.0001, n = 684) in the control ponds. Average productivity, calculated by either dawn-dusk-dawn DO changes, or diel DO changes measured at 15-min intervals, were not significantly different between the treatments (P>0.05) however, chlorophyll a concentrations were significantly higher in control ponds (19.21 vs. 7.09 mug/l in experimental ponds). Secchi depth did not correlate with algal productivity or biomass. Higher alkalinity did not increase algal production or biomass. Even with cooler than normal temperatures, one of the control ponds required aeration to avoid a fish kill. Overall, fish yield and survival were higher in control ponds, suggesting that some other factors associated with organic fertilizers (increased protozoan production, slower release of nutrients) may make them necessary for optimum yields. Adjusting the ratio of organic to inorganic fertilizer could reduce cost and anoxia without reducing fish production. (C) 2003 Elsevier Science B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,0044-8486,1873-5622,,,,APR 2,2003,219,1-4,,,,,337,345,PII S0044-8486(02)00520-3,10.1016/S0044-8486(02)00520-3,http://dx.doi.org/10.1016/S0044-8486(02)00520-3,,,,,,,,,,,,,WOS:000181802700025,View Full Record in Web of Science
J,"ANDERSSON, S; KAUTSKY, L; KALVAS, A",,,,"ANDERSSON, S; KAUTSKY, L; KALVAS, A",,,CIRCADIAN AND LUNAR GAMETE RELEASE IN FUCUS-VESICULOSUS IN THE ATIDAL BALTIC SEA,MARINE ECOLOGY PROGRESS SERIES,,,,,,,,,,,,"Released eggs from Fucus vesiculosus were counted every 12 or 4 h in the field and every 24 h in laboratory experiments at constant temperature and a 17 h light:7 h dark cycle, mimicking natural light conditions. A fortnightly rhythm was confirmed both in the field and in controlled laboratory studies, with a main egg release 2 d before full and new moon, but with indication of a minor weekly period of unequal amplitude. The highest daily release of eggs was typically found from 18:00 to 22:00 h. Dehydration was not found to influence the pattern of egg release and in the field no correlation was found with temperature or water level fluctuations. An endogenous clock in F. vesiculosus is suggested and different entraining factors presented and discussed. We further suggest that the observed rhythmicity is of great adaptive value for coordination of gamete release in a dioecious species like F. vesiculosus in the atidal environment of the Baltic Sea, where this species occurs almost always submerged. Ecologically, the cyclic gamete release means that reproduction and recruitment are reduced to a few occasions during the reproductive period, which was earlier assumed to be several months long. This information may be crucial in the successful management of this ecologically important species in the Baltic Sea which has been severely reduced in abundance in recent decades due to pollution.",,,,,,,,,,,,,,,,,,,0171-8630,,,,,JUL,1994,110,2-3,,,,,195,201,,10.3354/meps110195,http://dx.doi.org/10.3354/meps110195,,,,,,,,,,,,,WOS:A1994NZ90100011,View Full Record in Web of Science
J,"Reimer, JD; Ono, S; Tsukahara, J; Takishita, K; Maruyama, T",,,,"Reimer, James D.; Ono, Shusuke; Tsukahara, Junzo; Takishita, Kiyotaka; Maruyama, Tadashi",,,"Non-seasonal clade-specificity and subclade microvariation in symbiotic dinoflagellates (Symbiodinium spp.) in Zoanthus sansibaricus (Anthozoa : Hexacorallia) at Kagoshima Bay, Japan",PHYCOLOGICAL RESEARCH,,,,,,,,,,,,"While much work has investigated the genetic diversity of symbiotic dinoflagellate genus Symbiodinium Freudenthal in cnidarians, investigations into such diversity over temporal scales (seasonal and/or annual) remain scarce. Here, we have sequenced the internal transcribed spacer of ribosomal DNA (ITS-rDNA) of Symbiodinium from samples of designated Zoanthus sansibaricus Carlgren (Anthozoa: Hexacorallia) colonies collected for 12 months (August 2004-July 2005) at a high latitude non-reefal coral community at Sakurajima, Kagoshima Bay, Japan (31 degrees 35'N, 130 degrees 35'E). Our results show that despite large ocean temperature changes (15.0-29.0 degrees C) throughout the one-year experimental period, Z. sansibaricus colonies contained only clade C Symbiodinium from many different subclade C1/C3-related novel types not previously reported. While no temporal changes in clade-level associations were seen, there were consistent and extremely large amounts (145 unique sequences out of 153 total obtained sequences) of genotypic microvariation observed in our obtained sequences. Despite Z. sansibaricus acquiring Symbiodinium horizontally and the presence of various other Symbiodinium clades (A, G) and subclades (e.g. C15 and derived subclades) in the immediate environment, Z. sansibaricus at Sakurajima specifically associates with subclade C1/C3-related Symbiodinium. While subclades C1/C3 have been found in a variety of different environments and are believed to be ancestral, 'generalist' types of Symbiodinium, C1/C3-related clades such as seen here may be more adapted to specialized niches. We theorize that specific and year-round association with many different types of subclade C1/C3-related Symbiodinium helps Z. sansibaricus to survive in the fluctuating Sakurajima environment.",,,,,"Reimer, James Davis/AAP-1331-2020",,,,,,,,,,,,,,1322-0829,1440-1835,,,,MAR,2007,55,1,,,,,58,65,,10.1111/j.1440-1835.2006.00446.x,http://dx.doi.org/10.1111/j.1440-1835.2006.00446.x,,,,,,,,,,,,,WOS:000243975000006,View Full Record in Web of Science
J,"Koynarski, T; Zapryanova, D; Atanasoff, A; Nikolov, G; Hristova, D; Secer, FS",,,,"Koynarski, Tsvetoslav; Zapryanova, Dimitrinka; Atanasoff, Alexander; Nikolov, Galin; Hristova, Deiana; Secer, F. Sertel",,,SEASONAL FLUCTUATIONS OF INNATE IMMUNITY AMONG THREE PHYLOGENETICALLY DIVERSE FISH,FRESENIUS ENVIRONMENTAL BULLETIN,,,,,,,,,,,,"Aquaculture is the only agricultural sector demonstrating constant economic growth within the past decade. Nowadays trend is to produce drug free products, which requires the use of animals with strong immune response to pathogens. The present study, investigates the seasonal variations of natural immunity among three of the most common fish in Bulgaria - Rainbow trout, Common carp and Russian sturgeon. The diverse phylogenetic development of each of them, leads to establishment of different defense strategies and prioritization of immune system components. The focus of this experiment were the levels of blood serum lysozyme, the two major pathways of complement activation (classical and alternative CPCA and APCA, respectively) and some of the acute phase proteins (ceruloplasmin and albumin). Expectedly, the highest lysozyme and ceruloplasmin levels for both seasons was observed among the Russian sturgeon. Surprisingly, the sturgeon showed the highest CPCA activity as well, whereas its APCA results were rather modest. Despite the divergent temperature preferences of the other two species, they both exhibited an increase in all parameters of interest in summer to winter direction. Exception of this rule was detected for the lysozyme and albumin levels among the common carp, where the opposite tendency was unveiled. The obtained data should give a new insight to fish growing programs focused on the specific immune system features of each species.",,,,,"Koynarski, Tsvetoslav V/E-4800-2012; SECER, Faik Sertel/AAB-2285-2020; SECER, Faik Sertel/L-9221-2017","SECER, Faik Sertel/0000-0002-1940-7949; SECER, Faik Sertel/0000-0002-1940-7949",,,,,,,,,,,,,1018-4619,1610-2304,,,,,2018,27,12,,,,,8529,8535,,,,,,,,,,,,,,,,WOS:000455562400074,View Full Record in Web of Science
J,"Lin, C; Ooka, R; Kikumoto, H; Sato, T; Arai, M",,,,"Lin, Chao; Ooka, Ryozo; Kikumoto, Hideki; Sato, Taiki; Arai, Maiko",,,CFD simulations on high-buoyancy gas dispersion in the wake of an isolated cubic building using steady RANS model and LES,BUILDING AND ENVIRONMENT,,,,,,,,,,,,"As the use of emergency generators for buildings increases, the near-field dispersion of high-temperature and high-buoyancy exhaust gas is becoming a concern. We conducted computational fluid dynamics (CFD) simulations using steady Reynolds-averaged Navier-Stokes (RANS) model and large eddy simulation (LES) on the near-field dispersion of high-buoyancy exhaust gas emitted from a building's wake and validated using a wind tunnel experiment. Realizable k-epsilon 2-layer and wall-adapting local eddy viscosity (WALE) models were used in RANS and LES, respectively. The density difference between the light gas and ambient air in the experiment was reproduced as the temperature difference by an incompressible ideal gas model. RANS model exhibited good agreement with the experimental flow field values for the time-averaged velocity but underestimated the turbulent kinetic energy. LES accurately predicted both the time-averaged velocity and turbulent kinetic energy. For the concentration field, RANS model predicted the region of high time-averaged concentration near the exhaust port but overestimated ground-level values. Meanwhile, LES adequately predicted time-averaged and fluctuating concentrations. Additionally, an investigation of the effect of the turbulent Schmidt number Sc-t in RANS model demonstrated that a small Sc-t increased the overall prediction accuracy, while a large Sc-t compensated for the overestimation on ground-level time-averaged concentrations.",,,,,"Kikumoto, Hideki/AHB-5710-2022","Kikumoto, Hideki/0000-0003-3709-4517; Lin, Chao/0000-0001-5384-7705",,,,,,,,,,,,,0360-1323,1873-684X,,,,JAN 15,2021,188,,,,,,,,107478,10.1016/j.buildenv.2020.107478,http://dx.doi.org/10.1016/j.buildenv.2020.107478,,JAN 2021,,,,,,,,,,,WOS:000609487000006,View Full Record in Web of Science
J,"Feng, WT; Zou, XM; Schaefer, D",,,,"Feng, Wenting; Zou, Xiaoming; Schaefer, Douglas",,,Above- and belowground carbon inputs affect seasonal variations of soil microbial biomass in a subtropical monsoon forest of southwest China,SOIL BIOLOGY & BIOCHEMISTRY,,,,,,,,,,,,"Soil microbial activity drives carbon and nutrient cycling in terrestrial ecosystems. Soil microbial biomass is commonly limited by environmental factors and soil carbon availability. We employed plant litter removal, root trenching and stem-girdling treatments to examine the effects of environmental factors, above- and belowground carbon inputs on soil microbial C in a subtropical monsoon forest in southwest China. During the experimental period from July 2006 through April 2007, 2 years after initiation of the treatments, microbial biomass C in the humus layer did not vary with seasonal changes in soil temperature or water content. Mineral soil microbial C decreased throughout the experimental period and varied with soil temperature and water content. Litter removal reduced mineral soil microbial C by 19.0% in the ungirdled plots, but only 4.0% in girdled plots. Root trenching, stem girdling and their interactions influenced microbial C in humus layer. Neither root trenching nor girdling significantly influenced mineral soil microbial C. Mineral soil microbial C correlated with following-month plant litterfall in control plots, but these correlations were not observed in root-trenching plots or girdling plots. Our results suggest that belowground carbon retranslocated from shoots and present in soil organic matter, rather than aboveground fresh plant litter inputs, determines seasonal fluctuation of mineral soil microbial biomass. (C) 2008 Elsevier Ltd. All rights reserved.",,,,,"Feng, Wenting/A-8138-2010; Zou, Xiaoming/GWV-5608-2022; Feng, Wenting/D-9822-2016","Zou, Xiaoming/0000-0001-9023-3067; Feng, Wenting/0000-0002-3189-3687",,,,,,,,,,,,,0038-0717,,,,,MAY,2009,41,5,,,SI,,978,983,,10.1016/j.soilbio.2008.10.002,http://dx.doi.org/10.1016/j.soilbio.2008.10.002,,,,,,,,,,,,,WOS:000266425500017,View Full Record in Web of Science
J,"Hussain, F; Khan, EA; Baloch, MS; Ullah, A; Khakwani, AA; Ullah, Q",,,,"Hussain, F.; Khan, E. A.; Baloch, M. S.; Ullah, A.; Khakwani, A. A.; Ullah, Q.",,,IMPACT OF SEASONAL VARIABILITY ON PHENOLOGICAL DEVELOPMENT AND PRODUCTIVITY OF MUNGBEAN (VIGNA RADIATA (L.) R. WILCZEK) IN ARID CLIMATIC CONDITION,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,,,,,,,,,,,,"Mungbean is an important legume in arid regions that is under threat due to changing rainfall conditions and temperature fluctuations in the region. These risks can be addressed by optimizing sowing time and selecting the right mungbean cultivars. Therefore, the present study was conducted during summer seasons of 2018 and 2019 to reveal the best sowing time for mung bean genotypes. Experiment was comprised of two factors i.e., sowing dates; 1st April, 15th April, 1st May and 15th May, and genotypes, Bahawalpur-mung-2017, NIAB-mung-2016 and AZRI-mung-2006. NIAB-mung-2016 sown at 1st April during 2018 and 2019 took higher days to complete the phenological stages as well as gave higher viable pollens (79.63 and 73.40%), chlorophyll contents (50.11 and 47.04 mu g cm(2)) number of pods/plant (38.13 and 30.32), number of seed/pod (14.20 and 11.67), 1000-seed weight (53.21 g), grain yield (1856 and 1585 Kg ha(-1)), biological yield (5940 and 5335 Kg ha(-1)) and harvest index (31.45 and 28.04%). Likewise higher heat use efficiency, heat thermal unit, relative temperature depression were also recorded when mungbean was sown at 1st April during 2018 and 2019. Hence it is concluded that NIAB-mung-2016 sown at 1st April had the potential to increase mungbean productivity under arid conditions.",,,,,,,,,,,,,,,,,,,1589-1623,1785-0037,,,,,,,,,,,,,,,10.15666/aeer/2004_29852999,http://dx.doi.org/10.15666/aeer/2004_29852999,,MAR 2022,,,,,,,,,,,WOS:000813665900001,View Full Record in Web of Science
C,"Uzupis, A; Nemciauskas, K; Balezentiene, L; Klimas, E",,,Aleksandras Stulginskis Univ,"Uzupis, Arnoldas; Nemciauskas, Kestutis; Balezentiene, Ligita; Klimas, Evaldas",,,Application of Physical Indices at Field Scale Crop Management,"RURAL DEVELOPMENT IN GLOBAL CHANGES, VOL 5, BOOK 1",Rural Development,,,,5th International Scientific Conference on Rural Development - In Global Changes,"NOV 24-25, 2011","Aleksandras Stulginskis Univ, Akademija, LITHUANIA",,Aleksandras Stulginskis Univ,,,"In order to understand a fluctuation of the physical processes in agro environment, it is necessary to analyze a lot of physical parameters: temperature of atmosphere and soil, gas concentration (O-2, CO2 etc.), soil solidity, dependency of the wind velocity on the height and density of plants, humidity of the soil, vegetation period and other factors. Our experiments have been done using data collection according to the national USDA's Forest Health Monitoring Program (Stohlgren, 2007). Cultivated grassland as the target of the investigation has been taken. The data have been collected in a real time using digital sensors of the humidity, pressure, gas concentration, solar intensity, wind speed and temperature. All the dependencies of the various physical data were valuated according to the plant growth. Data were obtained in cultural grasslands with different fertilizer application and in crop fields of different geographical location. The experimental data confirm that the average meteorological data obtained from the State Meteorology Stations are quite preliminary and cannot be unambiguously considered as the environmental factors on the wide area of vegetation with different soil. The gathered data set should be used when analyzing ecological drivers on the fluctuation of the climate. Measurement of properties that affect fluid storage and transport, such as macro porosity, provided soil quality indices that helped in recommending suitable soil management systems (Harpal et al., 2004).",,,,,,,,,,,,,,,,,,,1822-3230,,,,,,2011,5,1,,,,,457,461,,,,,,,,,,,,,,,,WOS:000304706000074,View Full Record in Web of Science
