Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Phillips, CL; Gregg, JW; Wilson, JK",,,,"Phillips, Claire L.; Gregg, Jillian W.; Wilson, John K.",,,Reduced diurnal temperature range does not change warming impacts on ecosystem carbon balance of Mediterranean grassland mesocosms,GLOBAL CHANGE BIOLOGY,,,,,,,,,,,,"Daily minimum temperature (T-min) has increased faster than daily maximum temperature (T-max) in many parts of the world, leading to decreases in diurnal temperature range (DTR). Projections suggest that these trends are likely to continue in many regions, particularly in northern latitudes and in arid regions. Despite wide speculation that asymmetric warming has different impacts on plant and ecosystem production than equal-night-and-day warming, there has been little direct comparison of these scenarios. Reduced DTR has also been widely misinterpreted as a result of night-only warming, when in fact T-min occurs near dawn, indicating higher morning as well as night temperatures. We report on the first experiment to examine ecosystem-scale impacts of faster increases in T-min than in T-max, using precise temperature controls to create realistic diurnal temperature profiles with gradual day-night temperature transitions and elevated early morning as well as night temperatures. Studying a constructed grassland ecosystem containing species native to Oregon, USA, we found that the ecosystem lost more carbon at elevated than ambient temperatures, but remained unaffected by the 3 degrees C difference in DTR between symmetric warming (constantly ambient + 3.5 degrees C) and asymmetric warming (dawn T-min = ambient + 5 degrees C, afternoon T-max = ambient + 2 degrees C). Reducing DTR had no apparent effect on photosynthesis, probably because temperatures were most different in the morning and late afternoon when light was low. Respiration was also similar in both warming treatments, because respiration temperature sensitivity was not sufficient to respond to the limited temperature differences between asymmetric and symmetric warming. We concluded that changes in daily mean temperatures, rather than changes in T-min/T-max, were sufficient for predicting ecosystem carbon fluxes in this reconstructed Mediterranean grassland system.",,,,,"Phillips, Claire/AGP-5674-2022","Phillips, Claire/0000-0001-9072-6806",,,,,,,,,,,,,1354-1013,1365-2486,,,,NOV,2011,17,11,,,,,3263,3273,,10.1111/j.1365-2486.2011.02483.x,http://dx.doi.org/10.1111/j.1365-2486.2011.02483.x,,,,,,,,,,,,,WOS:000296137000001,View Full Record in Web of Science
J,"Alto, BW; Wiggins, K; Eastmond, B; Ortiz, S; Zirbel, K; Lounibos, LP",,,,"Alto, Barry W.; Wiggins, Keenan; Eastmond, Bradley; Ortiz, Sara; Zirbel, Kylie; Lounibos, L. Philip",,,Diurnal Temperature Range and Chikungunya Virus Infection in Invasive Mosquito Vectors,JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,"Climate strongly influences the geographic distribution and timing of mosquito-borne disease outbreaks. Environmental temperature affects phenotypic traits of mosquitoes including vector competence for arboviruses mediated by changes in infection, extrinsic incubation period and in rates of transmission. Most experiments, however, are done at constant temperatures. In nature, mosquitoes are more likely to experience daily fluctuations in temperature. Here we compare disseminated infection (leg infection) and saliva infection of Aedes aegypti (L.) (Diptera: Culicidae) and Aedes albopictus (Skuse) (Diptera: Culicidae) from Florida following oral exposure to an Asian genotype of chikungunya virus emergent in the Americas. We evaluated experimentally the effect of variable temperature regimens on disseminated infection and saliva infection of these Aedes species. Each of three temperature regimes had approximately the same average temperature (27-28 degrees C), but differed in the magnitude of the diurnal temperature range (DTR). The large DTR was 8.0 degrees C (range 23-31 degrees C) and the small DTR was 4.0 degrees C (range 26-30 degrees C) which approximate ranges in different locations of Florida during July-October when risk of transmission is highest. The constant temperature was set at 27 degrees C. Testing three geographic populations of each mosquito species, significant effects on disseminated infection were detected for an interaction between temperature regime and geographic population for both Ae. aegypti and Ae. albopictus. There were no significant treatment effects of temperature, geographic population, or temperature by geographic population interaction on saliva infection for either mosquito species. Constant temperature resulted in a higher viral load in the saliva of Ae. albopictus, but not Ae. aegypti, compared to conditions where the temperature fluctuated.",,,,,"Zirbel Yanchula, Kylie/N-6835-2015","Zirbel Yanchula, Kylie/0000-0001-7673-2580",,,,,,,,,,,,,0022-2585,1938-2928,,,,JAN,2018,55,1,,,,,217,224,,10.1093/jme/tjx182,http://dx.doi.org/10.1093/jme/tjx182,,,,,,,,29040730,,,,,WOS:000422975600023,View Full Record in Web of Science
J,"Scriber, JM; Sonke, B",,,,"Scriber, J. Mark; Sonke, Brittany",,,Effects of diurnal temperature range on adult size and emergence times from diapausing pupae in Papilio glaucus and P. canadensis (Papilionidae),INSECT SCIENCE,,,,,,,,,,,,"With recent climate warming trends, both the increase in thermal variance (i.e., diurnal temperature range; DTR) as well as increased mean temperature may impact many different organisms, especially poikilothermic invertebrates. Predictions of insect developmental rates using degree-days (thermal unit accumulations above the developmental base threshold of the insect) are based on daily mean temperatures, regardless of DTR. However, non-linearity and variance in the means and extremes are often ignored. The role of thermal variance (e. g., daily temperature extremes and DTR) was evaluated experimentally for two swallowtail butterfly sister species using a common day/night photoperiod of 18 : 6 h photo : scoto-phase and corresponding daytime thermophase and nighttime cryophase periods of 22 : 22 degrees C (constant 22 degrees C), 24 : 16 degrees C, and 26 : 10 degrees C (all three treatments had the same daily mean and the same degree-day accumulations). Although developmental rates of post-diapause pupae were largely unaffected for both species, our results show that sizes in P. canadensis females (but not males) were smaller in the treatments with more variance (26 degrees C : 10 degrees C) compared to constant 22 degrees C. Such potentially significant impacts of size reduction in P. canadensis females were not observed in P. glaucus males or females under the same series of thermo-period treatments.",,,,,,,,,,,,,,,,,,,1672-9609,1744-7917,,,,AUG,2011,18,4,,,,,435,442,,10.1111/j.1744-7917.2011.01432.x,http://dx.doi.org/10.1111/j.1744-7917.2011.01432.x,,,,,,,,,,,,,WOS:000293455800007,View Full Record in Web of Science
J,"Carrington, LB; Seifert, SN; Willits, NH; Lambrechts, L; Scott, TW",,,,"Carrington, Lauren B.; Seifert, Stephanie N.; Willits, Neil H.; Lambrechts, Louis; Scott, Thomas W.",,,Large Diurnal Temperature Fluctuations Negatively Influence Aedes aegypti (Diptera: Culicidae) Life-History Traits,JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,"Seasonal variation in dengue virus transmission in northwestern Thailand is inversely related to the magnitude of diurnal temperature fluctuations, although mean temperature does not vary significantly across seasons. We tested the hypothesis that diurnal temperature fluctuations negatively influence epidemiologically important life-history traits of the primary dengue vector, Aedes aegypti (L.), compared with a constant 26 degrees C temperature. A large diurnal temperature range (DTR) (approximate to 18 degrees C daily swing) extended immature development time (> 1 d), lowered larval survival (approximate to 6%), and reduced adult female reproductive output by 25% 14 d after blood feeding, relative to the constant 26 degrees C temperature. A small DTR (approximate to 8 degrees C daily swing) led to a negligible or slightly positive effect on the life history traits tested. Our results indicate that there is a negative impact of large DTR on mosquito biology and are consistent with the hypothesis that, in at least some locations, large temperature fluctuations contribute to seasonal reduction in dengue virus transmission.",,,,,"Carrington, Lauren/B-8269-2013; Lambrechts, Louis/A-2057-2010","Lambrechts, Louis/0000-0001-5958-2138; Carrington, Lauren Bree/0000-0001-9273-7912; seifert, stephanie/0000-0002-4397-6156",,,,,,,,,,,,,0022-2585,1938-2928,,,,JAN,2013,50,1,,,,,43,51,,10.1603/ME11242,http://dx.doi.org/10.1603/ME11242,,,,,,,,23427651,,,,,WOS:000313570600006,View Full Record in Web of Science
J,"Yang, F; Liu, FH; Rowland, G",,,,"Yang, Fei; Liu, Fei-hu; Rowland, Gordon",,,Effects of diurnal temperature range and seasonal temperature pattern on the agronomic traits of fibre flax (Linum usitatissimum L.),CANADIAN JOURNAL OF PLANT SCIENCE,,,,,,,,,,,,"Three cultivars of fibre flax (Linum usitatissimum L.), Viking, Argos and Ariane, were used to study the effect on various agronomic traits of diurnal temperature ranges (DIF) and seasonal temperature patterns (STP) applied throughout the crop growth period. Diurnal temperature ranges were set at 5, 10 and 15 degrees C with the same daily mean temperature and accumulated growing degree days (GDDa), under a parabolic STP. Seasonal temperature patterns were set following parabolic, anti-parabolic and quasi-horizontal configurations with DIF set at 10 degrees C. The results showed that DIF or cultivar had a significant influence on the biomass, plant height (PH), stem diameter (SD), length of technical stem (LTS), weight of technical stem (WTS), fibre weight (FW), fibre content (FC) and seed weight per pot (SWp). Seasonal temperature pattern also had a significant influence on these traits except for WTS and FW. Significant interactions were observed between DIF and cultivar, affecting all traits with the exception of FW, and between STP and cultivar, affecting biomass, PH, SD and WTS. Diurnal temperature range set at 10 degrees C was optimal for biomass, PH, SD, LTS, WTS, and FW, while DIF set at 5 degrees C benefited FC and SWp. Among the different SIP configurations, anti-parabolic pattern was optimal for biomass, PH, SD, LTS and FC, and the quasi-horizontal pattern best fit SWp. In conclusion, the combination of DIF set at 10 degrees C and anti-parabollic STP provided the most favorable temperature conditions for fibre flax growth, which is the situation with winter flax production in Yunnan, China.",,,,,,,,,,,,,,,,,,,0008-4220,1918-1833,,,,NOV,2013,93,6,,,,,1249,1255,,10.4141/CJPS2013-103,http://dx.doi.org/10.4141/CJPS2013-103,,,,,,,,,,,,,WOS:000328800400030,View Full Record in Web of Science
J,"Wallace, RD; Grey, TL; Webster, TM; Vencill, WK",,,,"Wallace, Rebekah D.; Grey, Timothy L.; Webster, Theodore M.; Vencill, William K.",,,Increased Purple Nutsedge (Cyperus rotundus) Tuber Sprouting with Diurnally Fluctuating Temperatures,WEED SCIENCE,,,,,,,,,,,,"Purple nutsedge is among the most troublesome weeds of vegetables in the Southeast US and a substantial impediment in the search for methyl bromide alternatives. Greater understanding of the environmental cues that regulate tuber sprouting may assist in improved nutsedge management. Experiments were conducted to evaluate the effect of diurnal temperature variation on sprouting of purple nutsedge tubers. Two temperature regimes were evaluated: the first averaged 28 C, with daily fluctuations ranging from 0 to 19.5 C; the second temperature regime averaged 16 C, with daily fluctuations ranging from 0 to 18.5 C. When average temperature was 28 C, cumulative tuber sprouting ranged from 88 to 92%, with no detectable differences among diurnal fluctuations. The high average temperature in the first study may have negated any type of enforced sprouting suppression. However, when average temperature was lowered to 16 C (simulating early spring diurnal fluctuations under polyethylene mulch), there was a positive linear correlation between maximum tuber sprouting and temperature variation. With an average temperature of 16 C, the absence of temperature variation resulted in 52% purple nutsedge sprouting, while 87% sprouting occurred when daily temperature varied 18.5 C at the same average temperature. The use of various types of mulching material can affect average soil temperatures and diurnal variations, potentially shifting nutsedge emergence. Further studies are needed to determine if these data on tuber sprouting in response to alternating temperatures can facilitate more efficient weed management.",,,,,"VENCILL, WILLIAM/K-7748-2015; Webster, Theodore/A-4468-2009","VENCILL, WILLIAM/0000-0001-7233-4534; Webster, Theodore/0000-0002-8259-2059; Wallace, Rebekah/0000-0001-7293-6818",,,,,,,,,,,,,0043-1745,1550-2759,,,,JAN-MAR,2013,61,1,,,,,126,130,,10.1614/WS-D-12-00055.1,http://dx.doi.org/10.1614/WS-D-12-00055.1,,,,,,,,,,,,,WOS:000313756700017,View Full Record in Web of Science
J,"Uvarov, AV; Kolosova, N; Kulinich, O",,,,"Uvarov, Alexei V.; Kolosova, Natalia; Kulinich, Oleg",,,COMBINED EFFECTS OF EARTHWORMS AND DIURNAL TEMPERATURE FLUCTUATIONS ON SUCCESSIONAL CHANGES OF LITTER NEMATODE COMMUNITY,POLISH JOURNAL OF ECOLOGY,,,,,,,,,,,,"Earthworm functioning and temperature regime are among the most important biotic and abiotic factors of soil environment; their combined action on soil nematode activities has not been studied. In a 4-month laboratory experiment, effects of the epigeic earthworm Dendrobaena octaedra on a succession of nematode community in litter of a mid-European birch/oak forest were tested in the gradient of an increase of diurnal temperature fluctuations from 0 degrees C (constant 15 degrees C; T(15)) to 10 degrees C (daily range between 10 degrees and 20 degrees C; T(10-20)) and 20 degrees C (daily range between 5 degrees and 25 degrees C; T(5-25)). Earthworm and temperature effects were measured as differences in nematode community respiration rates between the experimental treatments. Nematode respiration rates were calculated on the basis of body size/weight/O(2) consumption relationships for individual species. Nematode community was dominated by bacterial feeders and changed in a characteristic successional pattern which, however, was markedly modified by temperature regime and earthworm activities. Dominant nematode taxa revealed specific patterns of temporal dynamics in connection with their responses to temperature and earthworm presence. Thus, metabolic activity of Plectus acuminatus was strongly reduced by D. octaedra but did not react to variation of temperature regime. In contrast, activity of Panagrolaimus sp. significantly responded to temperature but not to earthworm presence, whereas Pl. thornei reacted to both factors separately and in combination. Ceratoplectus armatus was stronger affected by earthworm presence then by temperature; Tylocephalus auriculatus showed the opposite pattern. The variety of responses may explain the coexistence of several taxonomically related (Plectidae) and trophically similar species within the dominant group. Both earthworm presence and increase of the range of diurnal temperature fluctuations strongly affected the net of interspecific correlations within the nematode community. Earthworms strongly reduced total activities of nematode community at any temperature regime. T(15) regime showed markedly lower level of cumulative nematode respiration than both fluctuating regimes, irrespective of earthworm presence. In conclusion, combined effects of earthworms and temperature regime drastically changed patterns of relationships within the nematode litter community. The results of the experiments may have implications for the perspectives of global warming events at the study site: it is suggested that the ultimate vector of the changes in litter environment might be directed towards the conditions of the treatment [T(15) regime; earthworms present], with the corresponding trends in the development of the litter nematode community.",,,,,"Uvarov, Alexei/AAE-5342-2022; Kolosova, Nataliya G/AAR-7409-2020","Kolosova, Nataliya G/0000-0003-2398-8544",,,,,,,,,,,,,1505-2249,,,,,,2009,57,4,,,,,685,696,,,,,,,,,,,,,,,,WOS:000273093000007,View Full Record in Web of Science
J,"Du, GH; Wu, LY; Deng, G; Yang, Y; Liu, FH; Rowland, G",,,,"Du, Guanghui; Wu, Liyan; Deng, Gang; Yang, Yang; Liu, Feihu; Rowland, Gordon",,,Influence of Diurnal Temperature Range on the Development of Fiber Cells in Flax (Linum usitatissimum),INTERNATIONAL JOURNAL OF AGRICULTURE AND BIOLOGY,,,,,,,,,,,,"Three flax (Linum usitatissimum L.) cultivars ('Ariane', `'Argos' and 'Viking') were used to study the effect of diurnal temperature range (DIF) applied throughout the whole growth stage on the development of fiber cells. Diurnal temperature ranges were set at 5 degrees C, 10 degrees C and 15 degrees C with the same daily mean temperature and accumulated growing degree days (GDDa). All measured traits showed obvious DIF and varietal differences except the length of fiber bundle (LFB) and the inter-fiber bundle distance (IFBD). Significant interactions of DIF and cultivar were observed to affect the width of fiber bundle (WFB), the size of fiber cell (SFC), the size of fiber cell cavity (SFCC) and the thickness of fiber cell wall (TFCW). Compared with other DIFs, the number of fiber cells per bundle (NFCB) and WFB increased, but IFBD decreased under DIF 5. However, WFB, TFCW and NFCB all decreased under DIF 10. Under DIF 15 condition, both SFC and SFCC increased. For 'Ariane', IFBD was short under DIF 5, but SFC and SFCC were both large under DIF 10. For ` Argos', IFBD was also short under DIF 5. Under DIF 10, WFB, SFC and TFCW were all small, but IFBD was long. For ` Viking', TFCW was small under DIF 10 but large under DIF 15. All these results suggested a definite influence of DIF on the development of fiber cells in flax, and DIF set at 5 degrees C benefited the number of fiber cells in a bundle but DIF 15 was optimal for the size of fiber cells. (C) 2017 Friends Science Publishers",,,,,,,,,,,,,,,,,,,1560-8530,1814-9596,,,,,2017,19,3,,,,,595,600,,10.17957/IJAB/15.0345,http://dx.doi.org/10.17957/IJAB/15.0345,,,,,,,,,,,,,WOS:000402140700033,View Full Record in Web of Science
J,"Briga, M; Verhulst, S",,,,"Briga, Michael; Verhulst, Simon",,,Large diurnal temperature range increases bird sensitivity to climate change,SCIENTIFIC REPORTS,,,,,,,,,,,,"Climate variability is changing on multiple temporal scales, and little is known of the consequences of increases in short-term variability, particularly in endotherms. Using mortality data with high temporal resolution of zebra finches living in large outdoor aviaries (5 years, 359.220 bird-days), we show that mortality rate increases almost two-fold per 1 degrees C increase in diurnal temperature range (DTR). Interestingly, the DTR effect differed between two groups with low versus high experimentally manipulated foraging costs, reflecting a typical laboratory 'easy' foraging environment and a 'hard' semi-natural environment respectively. DTR increased mortality on days with low minimum temperature in the easy foraging environment, but on days with high minimum temperature in the semi-natural environment. Thus, in a natural environment DTR effects will become increasingly important in a warming world, something not detectable in an 'easy' laboratory environment. These effects were particularly apparent at young ages. Critical time window analyses showed that the effect of DTR on mortality is delayed up to three months, while effects of minimum temperature occurred within a week. These results show that daily temperature variability can substantially impact the population viability of endothermic species.",,,,,"Verhulst, Simon/S-3404-2019; Verhulst, Simon/B-1613-2009","Verhulst, Simon/0000-0002-1143-6868; Verhulst, Simon/0000-0002-1143-6868; Briga, Michael/0000-0003-3160-0407",,,,,,,,,,,,,2045-2322,,,,,NOV 13,2015,5,,,,,,,,16600,10.1038/srep16600,http://dx.doi.org/10.1038/srep16600,,,,,,,,26563993,,,,,WOS:000364653900001,View Full Record in Web of Science
J,"Hoglind, M; Hanslin, HM; Mortensen, LM",,,,"Hoglind, Mats; Hanslin, Hans M.; Mortensen, Leiv M.",,,Photosynthesis of Lolium perenne L. at low temperatures under low irradiances,ENVIRONMENTAL AND EXPERIMENTAL BOTANY,,,,,,,,,,,,"To develop mechanistic models for winter survival of grasses under climate change, more knowledge is needed of photosynthetic activity at low irradiance and temperature. Photosynthetic activity of small stands of Lolium perenne was continuously studied for up to two weeks under low photosynthetic photon flux density (PPFD) in the air temperature range from -3 degrees C to +9 degrees C. The photosynthetic rate of plants growing at 2, 6 and 9 degrees C was similar at 120 mu mol m(-2) s(-1) PPFD but the rate increased with increasing PPFD at all temperatures, particularly 9 degrees C. Light saturation of photosynthesis was reached at approx. 300 mu mol m(-2) s(-1) at 2 and 6 degrees C, and at approx. 600 mu mol m(-2) s(-1) at 9 degrees C. At 300 mu mol m(-2) s(-1), the CO2 exchange rate (CER) at 2 degrees C was approx. 60% of that at 9 degrees C. When the temperature increased gradually from 0 degrees C at start to +5 degrees C at the end of the 8-h photoperiod, CER decreased by about 20% compared with that at constant 5 degrees C. Changing the temperature from constant +5 degrees C to a diurnal variation between -2 and +2 degrees C gradually decreased daytime CER to approx. 10% after five days, partly due to leaf area losses (similar to 50% loss) when the poorly acclimatised plants were exposed to frost. At start of the photoperiod at -2 degrees C CER was negative, but became slightly positive when temperature exceeded -1 degrees C after two hours. Total daily photosynthesis was negative due to night-time respiration in this treatment. Soil heating to avoid freezing when the diurnal air temperature fluctuated between -3 and +3 degrees C had no effect on CER at this low PPFD level (150 mu mol m(-2) s(-1)). In contrast to the -2/+2 degrees C treatment, total daily photosynthesis was slightly positive in the -3/+3 degrees C treatment, where the plants were better acclimatised to frost. Increasing the CO2 concentration from 350 to 600 mu mol mol(-1) had no effect on CER at 2 and 6 degrees C, but increased it by 20% at 9 degrees C. The data indicate that the minimum temperature for photosynthesis in the cultivar studied is about -4 degrees C. The results can be applied in different photosynthesis models. (C) 2010 Elsevier B.V. All rights reserved.",,,,,"Höglind, Mats/AAT-1998-2021; Hanslin, Hans Martin/E-3048-2016","Hanslin, Hans Martin/0000-0002-3224-2368; Hoglind, Mats/0000-0002-7474-8789",,,,,,,,,,,,,0098-8472,1873-7307,,,,FEB,2011,70,2-3,,,,,297,304,,10.1016/j.envexpbot.2010.10.007,http://dx.doi.org/10.1016/j.envexpbot.2010.10.007,,,,,,,,,,,,,WOS:000285814500028,View Full Record in Web of Science
