Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Obermaier, E; Zwolfer, H",,,,"Obermaier, E; Zwolfer, H",,,Plant quality or quantity? Host exploitation strategies in three Chrysomelidae species associated with Asteraceae host plants,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,,,,,,,,,,,,"Phytophagous insects which feed on the leaves of herbaceous host plants have to adapt their life histories to the fact that protein nitrogen is usually highest in growing tissues in spring. We monitored field populations of larvae and adults of three chrysomelid species (Galeruca tanaceti (L.) (main host Achillea millefolium (L.) Yarrow), Cassida rubiginosa (Mueller) (main host Cirsium arvense (L.) Scop.) and Oreina luctuosa (Suffrian) (host Centaurea scabiosa (L.)) together with the amount of protein nitrogen of their food resources and host plant biomass. As expected, the development of host quality, measured as concentration of protein nitrogen, and host plant biomass showed inverse trends during the season. The euryphagous G. tanaceti attacks Achillea early and profits from high nitrogen concentrations in the leaves. Occasional overexploitations of local populations of Achillea are compensated by the capacity to move to other host species. In C. rubiginosa, a species with a host range restricted to the Cardueae, the main larval feeding activity is postponed to a period when the nitrogen content of the host leaves had dropped to 50% of its initial value, but when host plant biomass had increased by 30%. In the monophagous O. luctuosa the larval development is synchronized with a still later phase of host phenology, at which the nitrogen content is below 50% but plant biomass has reached its maximum. There seem to be selection factors, which oppose the use of high quality food in spring and which force the latter two species to postpone their larval development to a later time in the year. This could be caused by numerous factors like, for example, mean daytime temperature. Later in the season the larvae have to cope with the low quality of their host plants. They have, however, the advantage of large quantities of food available. A laboratory study with adults and mature larvae of O. luctuosa shows that this species can overcome low levels of protein nitrogen either by selecting younger leaves with higher nitrogen concentrations or by increasing the daily food consumption rate (RCR) on leaves with a low level of nitrogen and by a prolongation of the feeding period. In this way the larvae compensate the effect of lower daily growth rates (RGR) and a lower food conversion index (ECI) on poor food quality: Regardless of the level of protein nitrogen there was no statistically significant difference in total gain of weight during the third-instar feeding period and in the weight at the end of the third larval stage. The three investigated chrysomelids show that there exists a broad spectrum of adaptations to overcome the dilemma of variable food quality.",,,,,,,,,,,,,,,,,,,0013-8703,,,,,AUG,1999,92,2,,,,,165,177,,10.1046/j.1570-7458.1999.00536.x,http://dx.doi.org/10.1046/j.1570-7458.1999.00536.x,,,,,,,,,,,,,WOS:000082645200006,View Full Record in Web of Science
J,"Bouzinaoui, A; Vallette, P; Lemoine, F; Fontaine, JR; Devienne, R",,,,"Bouzinaoui, A; Vallette, P; Lemoine, F; Fontaine, JR; Devienne, R",,,Experimental study of thermal stratification in ventilated confined spaces,INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,,,,,,,,,,,,"Within the displacement ventilation (DV) field, this paper presents an experimental study of thermal stratification in a ventilated room in which there is a heat source. The ventilation system maintains plume development up to a limiting height, above which the air stream is mixed. Temperature stratification arises within the test room. Its interface is of significant thickness and its position is identified by that of the maximum standard deviation of temperature fluctuations. The change in the height of this interface is studied under different experimental conditions. Results confirm the laws already obtained for zones close to and far away from the source and they also allow a law governing the transition between these two zones to be proposed. (c) 2005 Elsevier Ltd. All rights reserved.",,,,,,,,,,,,,,,,,,,0017-9310,1879-2189,,,,SEP,2005,48,19-20,,,,,4121,4131,,10.1016/j.ijheatmasstransfer.2005.03.029,http://dx.doi.org/10.1016/j.ijheatmasstransfer.2005.03.029,,,,,,,,,,,,,WOS:000231490100017,View Full Record in Web of Science
J,"Dixit, PN; Cooper, PJM; Dimes, J; Rao, KP",,,,"Dixit, P. N.; Cooper, P. J. M.; Dimes, J.; Rao, K. P.",,,"ADDING VALUE TO FIELD-BASED AGRONOMIC RESEARCH THROUGH CLIMATE RISK ASSESSMENT: A CASE STUDY OF MAIZE PRODUCTION IN KITALE, KENYA",EXPERIMENTAL AGRICULTURE,,,,,,,,,,,,"In sub-Saharan Africa (SSA), rainfed agriculture is the dominant source of food production. Over the past 50 years much agronomic crop research has been undertaken, and the results of such work are used in formulating recommendations for farmers. However, since rainfall is highly variable across seasons the outcomes of such research will depend upon the rainfall characteristics of the seasons during which the work was undertaken. A major constraint that is laced by such research is die length of time for which studies could be continued, typically ranging between three and live years. This begs the question as to what extent the research was able to 'sample' the natural longer-term season-to-season rainfall variability Without knowledge of the full implications of weather variability on the performance of innovations being recommended, farmers cannot be properly advised about the possible weather-induced risks that they may face over time. To overcome this constraint, crop growth simulation models such as the Agricultural Production Systems Simulator (APSIM) can be used as an integral part of field-based agronomic studies. When driven) by long-term daily weather data (30+ years), such models can provide weather-induced risk estimates for a wide range of crop, soil and water management innovations for the major rainfed crops of SSA. Where access to long-term weather data is not possible, weather generators such as MarkSim can be used. This study demonstrates the value of such tools in climate risk analyses and assesses the value of the outputs in the context of a high potential maize production area in Kenya. MarkSim generated weather data is shown to provide a satisfactory approximation of recorded weather data at hand, and the output of 50 years of APSIM si 1 simulations demonstrate maize yield responses to plant population, weed control and nitrogen (N) fertilizer use that correspond well with results reported in the literature. Weather-induced risk is shown to have important effects on the rates of return ($ per $ invested) to N-fertilizer use which, across seasons and rates of N-application, ranged from 1.1 to 6.2. Similarly, rates of return to weed control and to planting at contrasting populations were also affected by seasonal variations in weather but were always so high as to not constitute a risk for small-scale 1,farmers. An analysis investigating the relative importance or temperature, radiation and water availability in contributing to weather-induced risk at different maize growth stages corresponded well with crop physiological studies reported in the literature.",,,,,,,,,,,,,,,,,,,0014-4797,1469-4441,,,,APR,2011,47,2,,,SI,,317,338,,10.1017/S0014479710000773,http://dx.doi.org/10.1017/S0014479710000773,,,,,,,,,,,,,WOS:000289819300007,View Full Record in Web of Science
J,"Kader, MA; Nakamura, K; Senge, M; Mojid, MA; Kawashima, S",,,,"Kader, Mohammad Abdul; Nakamura, Kimihito; Senge, Masateru; Mojid, Mohammad Abdul; Kawashima, Shigeto",,,"EFFECTS OF COLOURED PLASTIC MULCH ON SOIL HYDROTHERMAL CHARACTERISTICS, GROWTH AND WATER PRODUCTIVITY OF RAINFED SOYBEAN",IRRIGATION AND DRAINAGE,,,,,,,,,,,,"Soil thermal regime, a crucial factor in plant growth and development, is influenced by the colour of plastic mulch. The effects of black plastic mulch (BPM), silver plastic mulch (SPM), transparent plastic mulch (TPM) and bare soil on the soil temperature regime as well as on the growth and yield of rainfed soybean were evaluated in a field experiment. The results revealed a strong correlation (r(2) = 0.85) between air and soil-surface temperatures in the case of bare soil, but no correlation (r(2) = 0.03) in the case of TPM. The coloured plastic mulching raised soil temperature by 3-7 degrees C compared to bare soil, with a daily fluctuation of 6-17 degrees C at the early growth stage, while the soil temperature increased by 1-2 degrees C, with a daily fluctuation of 4-8 degrees C in later growth stages. BPM provided 1-4 degrees C more temperature than SPM and TPM at 5, 15 and 25 cm depths that augmented heat accumulation by 23% and 6% compared to bare soil and TPM, respectively. The coloured mulching significantly (p < 0.05) increased soybean growth attributes and thus augmented seed yield by 31-34% compared to bare soil. However, BPM, by maintaining the highest soil temperature, provided the highest seed yield of soybean. Therefore, BPM is recommended as a suitable mulch in the central Japan area. (c) 2020 John Wiley & Sons, Ltd.",,,,,"Mojid, Mohammad Abdul/ABB-3689-2021; Kader, Mohammad Abdul/J-2703-2019; Mojid, Mohammad Abdul/ABA-7501-2021","Kader, Mohammad Abdul/0000-0003-3246-1963; Mojid, Mohammad Abdul/0000-0002-1903-5989",,,,,,,,,,,,,1531-0353,1531-0361,,,,JUL,2020,69,3,,,,,483,494,,10.1002/ird.2431,http://dx.doi.org/10.1002/ird.2431,,,,,,,,,,,,,WOS:000545677300015,View Full Record in Web of Science
J,"Garrote-Moreno, A; Fernandez-Torquemada, Y; Sanchez-Lizaso, JL",,,,"Garrote-Moreno, A.; Fernandez-Torquemada, Y.; Sanchez-Lizaso, J. L.",,,Salinity fluctuation of the brine discharge affects growth and survival of the seagrass Cymodocea nodosa,MARINE POLLUTION BULLETIN,,,,,,,,,,,,"The increase of seawater desalination plants may affect seagrasses as a result of its hypersaline effluents. There are some studies on the salinity tolerance of seagrasses under controlled laboratory conditions, but few have been done in situ. To this end, Cymodocea nodosa shoots were placed during one month at four localities: two close to a brine discharge; and the other two not affected by the discharge, and this experiment was repeated four times. The results obtained showed a decrease in growth and an increased mortality at the localities affected by the brine discharge. An increase was detected in the percentage of horizontal shoots in respect to vertical shoots at the impacted localities. It is probably that not only the average salinity, but also the constant salinity fluctuations and slightly higher temperatures associated with the brine that may have caused physiological stress thus reducing C. nodose growth and survival. (C) 2014 Elsevier Ltd. All rights reserved.",,,,,"Lizaso, José Luis L Sánchez/J-4939-2017; Fernández-Torquemada, Yolanda/C-4289-2015","Lizaso, José Luis L Sánchez/0000-0002-3927-5699; Fernández-Torquemada, Yolanda/0000-0003-0533-4109",,,,,,,,,,,,,0025-326X,1879-3363,,,,APR 15,2014,81,1,,,,,61,68,,10.1016/j.marpolbul.2014.02.019,http://dx.doi.org/10.1016/j.marpolbul.2014.02.019,,,,,,,,24635986,,,,,WOS:000335626500020,View Full Record in Web of Science
J,"Wearmouth, VJ; Sims, DW",,,,"Wearmouth, Victoria J.; Sims, David W.",,,Movement and behaviour patterns of the critically endangered common skate Dipturus batis revealed by electronic tagging,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,,,,,,,,"Understanding animal distributions and habitat utilisation is vital for the management of populations, especially those of endangered species. However, this information is not available for the majority of marine species and is difficult to obtain for those with low population densities. The common skate, Dipturus batis, was once abundant and widespread in the North-East Atlantic but is now thought to be locally extinct in the Irish Sea and in the central and southern North Sea, and is listed as Critically Endangered on the IUCN Red List. The constraints of skate body morphology on locomotory mode assume low levels of activity with long periods spent resting on the seabed, therefore predicting a high degree of site fidelity. To investigate this hypothesis we tagged 8 common skate (two male and six female, mass range: 10.9-63.5 kg) with depth and temperature-logging data storage tags off the west coast of Scotland in May 2008. All 6 tags attached to females were recovered after 1-9 months at liberty. All 6 individuals exhibited pronounced site fidelity to highly localised areas. Within these local areas however, time-depth profiles were dominated by periods of high activity, with vertical movements of >100 m being conducted on a regular, sometimes daily, basis. Intra-individual plasticity was observed in vertical activity patterns with individuals switching between low and high activity patterns. Smaller skate were generally less active and occupied deeper depths. Limited short-term horizontal movements in preferred habitats supporting apparently high foraging activity highlights the need for spatial management of 'refugial' populations of this once widespread fish, that appears now largely extirpated from European waters. (C) 2009 Elsevier B.V. All rights reserved.",,,,,,,,,,,,,,,,,,,0022-0981,1879-1697,,,,NOV 15,2009,380,1-2,,,,,77,87,,10.1016/j.jembe.2009.07.035,http://dx.doi.org/10.1016/j.jembe.2009.07.035,,,,,,,,,,,,,WOS:000271683900010,View Full Record in Web of Science
J,"Grodzicki, P; Caputa, M",,,,"Grodzicki, Przemyslaw; Caputa, Michal",,,"Diurnal and Seasonal Changes in Thermal Preference of Single, Isolated Bees and Small Groups of Bees (Apis mellifera L.)",JOURNAL OF INSECT BEHAVIOR,,,,,,,,,,,,"The aim of the present study was: to compare thermoregulatory behaviour of single honeybee workers and groups of 3-15 bees over their annual activity period and to check out whether the annual fluctuations of ambient temperature selection are correlated with phases of the colony development. Thermal behaviour of both single workers and groups of bees was recorded, using a video camera, in a thermal gradient system. Thermal preferences of the insects were tested seasonally in spring (May/June), summer (July/August) and autumn (September-November). Both single bees and small groups of bees changed their thermal behaviour in daily cycle. The season of the year had distinct effect on temperature preferences of both single honeybee workers or small groups of bees. In single honeybee workers the lowest ambient temperatures were preferred in late spring (the swarming phase) while the highest temperatures were selected during the summer (the colony growing phase). There were significant seasonal changes in ambient temperature selected by groups of honeybee workers. Groups of honeybee workers tended to prefer the lowest temperatures in late spring and the highest temperatures were selected during the summer. The day-night differences exhibited by small groups of bees in our experiments are likely to represent behavioural responses of the honeybee colony. In our experiments we proved an influence of the season of the year on the honeybees' thermal behaviour, which might be connected with seasonal shifts of temperature regulated by the honeybee colony.",,,,,"Grodzicki, Przemysław/H-1831-2014; Grodzicki, Przemysław/L-1188-2019; Caputa, Michał/G-6790-2014","Grodzicki, Przemysław/0000-0002-8397-8711; Grodzicki, Przemysław/0000-0002-8397-8711; ",,,,,,,,,,,,,0892-7553,1572-8889,,,,NOV,2014,27,6,,,,,701,711,,10.1007/s10905-014-9460-6,http://dx.doi.org/10.1007/s10905-014-9460-6,,,,,,,,,,,,,WOS:000345080500002,View Full Record in Web of Science
J,"Schlichter, J; Ponkratov, VV; Friedrich, J",,,,"Schlichter, J; Ponkratov, VV; Friedrich, J",,,Structural fluctuations and aging processes in deeply frozen proteins,LOW TEMPERATURE PHYSICS,,,,,4th International Conference on Cryocrystals and Quantum Crystals (CC 2002),"OCT 27-31, 2002","FREISING, GERMANY",,,,,"Frozen proteins are nonergodic systems and are subject to two types of structural motions, namely relaxation and fluctuation. Relaxation manifests itself in aging processes which slow the fluctuations. Within certain approximations we are able to experimentally separate the aging dynamics from the fluctuation dynamics by introducing two time parameters, namely an aging time t(a) and a waiting time t(w). Both processes follow power laws in time. The fluctuation dynamics shows features of universality characterized by a rather uniform exponent of 1/4. These universality features were shown to be possible due to a random walk on a 1D random trajectory in conformational phase space. A very interesting aspect of protein dynamics concerns the influence of the host solvent on structural motions of the protein cores. We present results for sugar solvents and discuss possible mechanisms. (C) 2003 American Institute of Physics.",,,,,,,,,,,,,,,,,,,1063-777X,,,,,SEP-OCT,2003,29,9-10,,,,,795,800,,10.1063/1.1614196,http://dx.doi.org/10.1063/1.1614196,,,,,,,,,,,,,WOS:000186094200024,View Full Record in Web of Science
J,"Ross, PA; Axford, JK; Yang, Q; Staunton, KM; Ritchie, SA; Richardson, KM; Hoffmann, AA",,,,"Ross, Perran A.; Axford, Jason K.; Yang, Qiong; Staunton, Kyran M.; Ritchie, Scott A.; Richardson, Kelly M.; Hoffmann, Ary A.",,,Heatwaves cause fluctuations in wMel Wolbachia densities and frequencies in Aedes aegypti,PLOS NEGLECTED TROPICAL DISEASES,,,,,,,,,,,,"Aedes aegypti mosquitoes infected with the wMel strain of Wolbachia are being released into natural mosquito populations in the tropics as a way of reducing dengue transmission. High temperatures adversely affect wMel, reducing Wolbachia density and cytoplasmic incompatibility in some larval habitats that experience large temperature fluctuations. We monitored the impact of a 43.6 degrees C heatwave on the wMel infection in a natural population in Cairns, Australia, where wMel was first released in 2011 and has persisted at a high frequency. Wolbachia infection frequencies in the month following the heatwave were reduced to 83% in larvae sampled directly from field habitats and 88% in eggs collected from ovitraps, but recovered to be near 100% four months later. Effects of the heatwave on wMel appeared to be stage-specific and delayed, with reduced frequencies and densities in field-collected larvae and adults reared from ovitraps but higher frequencies in field-collected adults. Laboratory experiments showed that the effects of heatwaves on cytoplasmic incompatibility and density are life stage-specific, with first instar larvae being the most vulnerable to temperature effects. Our results indicate that heatwaves in wMel-infected populations will have only temporary effects on Wolbachia frequencies and density once the infection has established in the population. Our results are relevant to ongoing releases of wMel-infected Ae. aegypti in several tropical countries.",,,,,"; Ross, Perran/O-1049-2015","Hoffmann, Ary/0000-0001-9497-7645; Staunton, Kyran/0000-0001-6812-3320; Ross, Perran/0000-0001-7645-7523",,,,,,,,,,,,,1935-2735,,,,,JAN,2020,14,1,,,,,,,e0007958,10.1371/journal.pntd.0007958,http://dx.doi.org/10.1371/journal.pntd.0007958,,,,,,,,31971938,,,,,WOS:000548903800029,View Full Record in Web of Science
J,"Ko, FWS; Tam, W; Wong, TW; Lai, CKW; Wong, GWK; Leung, TF; Ng, SSS; Hui, DSC",,,,"Ko, F. W. S.; Tam, W.; Wong, T. W.; Lai, C. K. W.; Wong, G. W. K.; Leung, T.-F.; Ng, S. S. S.; Hui, D. S. C.",,,Effects of air pollution on asthma hospitalization rates in different age groups in Hong Kong,CLINICAL AND EXPERIMENTAL ALLERGY,,,,,,,,,,,,"Aims To assess the relationship between levels of ambient air pollutants and hospitalization rates for asthma in Hong Kong (HK). Methods This is a retrospective ecological study. Data of daily emergency hospital admissions to 15 major hospitals in HK for asthma and indices of air pollutants [sulphur dioxide (SO2), nitrogen dioxide (NO2), ozone (O-3), particulates with an aerodynamic diameter of < 10 mu m particulate matter (PM10) and 2.5 mu m (PM2.5)] and meteorological variables from January 2000 to December 2005 were obtained from several government departments. Analysis was performed by the generalized additive models with Poisson distribution. The effects of time trend, season, other cyclical factors, temperature and humidity were adjusted. Autocorrelation and overdispersion were corrected. Results Altogether, 69 716 admissions were assessed. Significant associations were found between hospital admissions for asthma and levels of NO2, O-3, PM10 and PM2.5. The relative risks (RR) for hospitalization for every 10 mu g/m(3) increase in NO2, O-3, PM10 and PM2.5 were 1.028, 1.034, 1.019 and 1.021, respectively, at a lag day that ranged from cumulative lag 0-4 to 0-5. In a multi-pollutant model, O-3 was significantly associated with increased admissions for asthma. The younger age group (0-14 years) tended to have a higher RR for each 10 mu g/m(3) increase in pollutants than those aged 15-65 years. The elderly (aged >= 65 years) had a shorter 'best' lag time to develop asthma exacerbation following exposure to pollutants than those aged < 65 years. Conclusion Adverse effects of ambient concentrations of air pollutants on hospitalization rates for asthma are evident. Measures to improve air quality in HK are urgently needed.",,,,,"Wong, Gary WK/AAY-9207-2020; Hui, David Shu-Cheong/O-2754-2015; TAM, Wilson W.S./H-5890-2019; San Tam, Wilson Wai/E-9887-2010; LEUNG, Ting Fan/E-7728-2013; Tam, Wilson/K-1664-2019; Wong, Tze Wai/K-5344-2013; Ko, Fanny W. S./B-8958-2016; Ng, Susanna/ABI-4965-2020; Ng, Susanna/G-7431-2017","Wong, Gary WK/0000-0001-5939-812X; Hui, David Shu-Cheong/0000-0003-4382-2445; TAM, Wilson W.S./0000-0003-0641-3060; LEUNG, Ting Fan/0000-0002-6469-1926; Ko, Fanny W. S./0000-0001-8454-0087; Ng, Susanna/0000-0002-4554-7312",,,,,,,,,,,,,0954-7894,1365-2222,,,,SEP,2007,37,9,,,,,1312,1319,,10.1111/j.1365-2222.2007.02791.x,http://dx.doi.org/10.1111/j.1365-2222.2007.02791.x,,,,,,,,17845411,,,,,WOS:000249253100008,View Full Record in Web of Science
