Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
C,"Davidson, AM; Da Silva, D; DeJong, TM",,"Xiloyannis, C; Inglese, P; Montanaro, G",,"Davidson, A. M.; Da Silva, D.; DeJong, T. M.",,,Seasonal Variability of Leaf Appearance Rate of Proleptic and Epicormic Shoots of Peach (Prunus persica) Grown in Normal and Deficit Irrigation Treatments,VIII INTERNATIONAL PEACH SYMPOSIUM,Acta Horticulturae,,,,8th International Peach Symposium,"JUN 17-20, 2013-2016","Matera, ITALY",Int Soc Hort Sci,,,,"Much attention is devoted to understanding whole plant physiology and the architectural manipulation of peach tree canopies to optimize yield, minimize losses and to understand developmental responses to the environment. One method to visualize and understand plant physiological responses is to synthesize field data sets into mechanistically-based computer simulation models. The L-PEACH model is a functional-structural interactive plant model that simulates 3D peach tree architecture and carbohydrate flow and distribution. The construction of this virtual tree is based on metamers, repetitive subunits defined as node+leaf+axillary meristem+internodal segments. The rate at which metamers are added over the course of a field season is very important for modeling shoot growth rates but not well established experimentally. Additionally, the canopy is composed of several shoot types that behave differently. In this 2010 California field study, we investigated seasonal patterns of leaf appearance rates (LAR), the time interval between successive leaves, in normal and deficit irrigated treatments on both proleptic and epicormic shoots of mature de-fruited trees. Leaf appearance and leaf growth rate measurements were recorded three times per week from the beginning of the season in April to the end of the growing season in late September. LAR fluctuated over the course of the season and generally slowed as the season progressed. Epicormic shoots added leaves at a significantly faster rate than proleptic shoots in both water deficit and normally irrigated treatments. Although there was a difference in stem water potential between irrigation treatments, there were no significant differences in the LAR between water treatments.",,,,,,,,,,,,,,,,,,,0567-7572,,978-94-62610-79-8,,,,2015,1084,,,,,,313,319,,10.17660/ActaHortic.2015.1084.44,http://dx.doi.org/10.17660/ActaHortic.2015.1084.44,,,,,,,,,,,,,WOS:000378619300044,View Full Record in Web of Science
J,"Buschbaum, C; Saier, B",,,,"Buschbaum, C; Saier, B",,,Growth of the mussel Mytilus edulis L. in the Wadden Sea affected by tidal emergence and barnacle epibionts,JOURNAL OF SEA RESEARCH,,,,,,,,,,,,"On the tidal Rats in the Wadden Sea mussels Mytilus edulis form extensive epibenthic beds. Near the island of Sylt (German Eight, North Sea), these extend from mid intertidal to shallow subtidal zones and are often heavily overgrown by barnacles (Semibalanus balanoides and Balanus crenatus). The effects of tidal emergence and barnacle epibionts on growth in M. edulis were investigated by field experiments and surveys. The results showed that mussel cohort lengths increased from the mid intertidal (25-35 mm shell length) over low intertidal (30-45 mm) to the subtidal zone ( 15-60 mm). In the low intertidal zone M. edulis were heavily overgrown by barnacles (2.2 +/- 0.4 g dry weight mussel(-1)). while balanid epigrowth was significantly lower subtidally (0.9 +/- 0.4 g mussel(-1)) as well as in the mid intertidal zone (0.7 +/- 0.3 g mussel(-1)). Cross-transplantation experiments of clean mussels (25-35 mm length) showed that from July to September growth was about 3 mm in the intertidal zone and significantly increased to about 10 mm subtidally. Mussel origin had no influence upon growth. Further field experiments showed significantly lower growth in mussels with barnacles than without. Living and experimentally sealed barnacles did not differ in their effect, indicating that food competition was not responsible. This investigation suggests that fluctuations in the extent of barnacle epigrowth may modify growth patterns in M. edulis which are otherwise governed by tidal exposure. (C) 2001 Elsevier Science B.V. All rights reserved.",,,,,,"Buschbaum, Christian/0000-0002-0223-1916",,,,,,,,,,,,,1385-1101,1873-1414,,,,FEB,2001,45,1,,,,,27,36,,10.1016/S1385-1101(00)00061-7,http://dx.doi.org/10.1016/S1385-1101(00)00061-7,,,,,,,,,,,,,WOS:000167901000003,View Full Record in Web of Science
J,"Hicks, A; Barbee, NC; Swearer, SE; Downes, BJ",,,,"Hicks, Andy; Barbee, Nicole C.; Swearer, Stephen E.; Downes, Barbara J.",,,"Estuarine geomorphology and low salinity requirement for fertilisation influence spawning site location in the diadromous fish, Galaxias maculatus",MARINE AND FRESHWATER RESEARCH,,,,,,,,,,,,"In habitats such as estuaries, which are characterised by large and fluctuating gradients in abiotic variables, finding appropriate habitat for successful spawning and egg development can be critical to a species' survival. We explored how salinity requirements for successful fertilisation may govern the distribution of estuarine spawning habitat for the diadromous fish, Galaxias maculatus, which spawns in inundated vegetation on estuary banks during spring tides. Artificial fertilisation experiments confirmed that successful fertilisation only occurs at low salinities (<20). Thus, we predicted that egg distributions would depend upon the extent of low-salinity surface waters in an estuary. Using estuary geomorphology classification schemes, which classify estuaries by physical and chemical characteristics such as their salinity dynamics, we hypothesised that stratified estuaries would provide a greater extent of low salinity surface water than well-mixed estuaries. This prediction was supported by surveys of egg distributions in five estuaries in Victoria, Australia. Eggs were distributed over a greater proportion of 'stratified' v. 'mixed' estuary types. We suggest that combining knowledge of the spawning requirements of a species and physical properties of the habitat, such as those encapsulated in estuary geomorphic classification schemes, can greatly facilitate efforts to identify critical habitats and thus aid in species management and conservation.",,,,,"Swearer, Stephen/X-4882-2018; SWEARER, STEPHEN/AAC-1527-2020","Swearer, Stephen/0000-0001-6381-9943; SWEARER, STEPHEN/0000-0001-6381-9943",,,,,,,,,,,,,1323-1650,1448-6059,,,,,2010,61,11,,,,,1252,1258,,10.1071/MF10011,http://dx.doi.org/10.1071/MF10011,,,,,,,,,,,,,WOS:000284230400004,View Full Record in Web of Science
J,"Jonczak, J",,,,"Jonczak, Jerzy",,,Decomposition of beech leaves in 120-years old stand on the area of Middle Pomerania,SYLWAN,,,,,,,,,,,,"The aim of the study was to assess the intensity of beech leaves decomposition and nutrients release dynamics in a beech stand located on the area of Middle Pomerania (N Poland). The studies were conducted during 2007-2010 with litterbag method. The observed intensity of leaves decomposition was higher compared to data obtained by other authors, despite the fact that initial material had properties, which did not favour rapid decomposition (high content of lignin, low content of nitrogen and phosphorus and large C:N ratio). Rapid decomposition is probably an effect of relatively high content of nitrogen in the soil and mitigating influence of the sea on local climate. During three years of experiment 80% loss of leaves weight was observed. The rate of decomposition was 0.54. Dynamics of concentration and stocks of elements in most cases was typical. Accumulation of nitrogen, iron and aluminium, and rapid leaching of potassium was observed in the first stage of decomposition. The observed permanent downward trend of the content and stocks of phosphorus is typical for habitats poor in the element and is an effect of its intensive uptake by plant roots and microorganisms. The loss of calcium and magnesium stocks referred to leaves weight loss, and concentration of these elements did not show large fluctuations in time.",,,,,,,,,,,,,,,,,,,0039-7660,,,,,AUG,2014,158,8,,,,,621,629,,,,,,,,,,,,,,,,WOS:000341552600008,View Full Record in Web of Science
J,"Owen, JP; Mullens, BA",,,,"Owen, JP; Mullens, BA",,,Influence of heat and vibration on the movement of the northern fowl mite (Acari : Macronyssidae),JOURNAL OF MEDICAL ENTOMOLOGY,,,,,,,,,,,,"Heat and vibration are common host-generated cues that ectoparasites use to orient to hosts. Three experiments evaluated effects of heat and vibration on the movement of northern fowl mite, Ornithonyssus sylviarum (Canestrini & Fanzago). Individual arrested mites in an isolation chamber always initiated movement (walking) after substrate vibration (7.8-min walking duration), but only initiated movement 50% of the time (2.8-min walking duration) upon exposure to a 3degreesC beat fluctuation. Heat fluctuation in combination with vibration extended the period of activity by approximate to50% (11.6-min walking duration) compared with activity initiated by vibration alone. Mites with longer time off-host moved for shorter durations. In a choice test, individual mites consistently moved closer to a 35degreesC heat source 1 or 6 tran away, but not to a heat source 11 mm away. In a circular arena, mites were able to orient accurately to a 35degreesC heat source and reached the arena edge almost 4 times faster (11.2 s) than mites without a heat source (41.2 s). These results suggest that northern fowl mite is capable of directed thermo-orientation, as well as modulation of activity depending on the type of sensory information perceived. The adaptive significance of this orientation for a permanent ectoparasite is discussed.",,,,,,"Owen, Jeb/0000-0002-2042-0526",,,,,,,,,,,,,0022-2585,,,,,SEP,2004,41,5,,,,,865,872,,10.1603/0022-2585-41.5.865,http://dx.doi.org/10.1603/0022-2585-41.5.865,,,,,,,,15535614,,,,,WOS:000224328200009,View Full Record in Web of Science
J,"Ghosh, E; Ballal, CR",,,,"Ghosh, Enakshi; Ballal, Chandish R.",,,Effect of host egg storage on the storage amenability of Trichogramma chilonis Ishii (Hymenoptera: Trichogrammatidae),PHYTOPARASITICA,,,,,,,,,,,,"The mass production of widely used bio-control agent Trichogramma chilonis primarily depends on the constant supply of their host eggs and availability of suitable storage techniques. Experiments were conducted to develop such techniques of three Trichogramma chilonis Ishii strains (viz. Nilgiris, Kodaikanl and lab) on stored and un-stored Corcyra cephalonica eggs. Differential response was noticed when pupal storage was attempted on un-stored host eggs at 5 and 10 degrees C. At 10 degrees C (L: D- 8:16, RH-70 +/- 10%), T. chilonis Nilgiris strain could retain its developmental arrest for the longest duration (60 days), followed by T. chilonis Kodaikanal (50 days). All the three tested strains showed a reduced storage capacity at 5 degrees C (L: D- 0:24, RH-70 +/- 10%). However, T. chilonis Nilgiris and Kodaikanal strains could be stored for upto 35 days with 60% emergence rate and lab strain for upto 30 days where emerged adults could survive for 3 days. The study revealed that when stored host eggs are used, the parasitized cards (parasitoids in their pupal stage) are amenable for further storage of minimum 30 days at both 5 and 10 degrees C. To overcome seasonal fluctuation in host availability, stored C. cephalonica eggs can be used to store pupal stages of the three different strains of T. chilonis at 5 degrees C for a total duration of 50 days (host egg storage: 20 days + pupal T. chilonis storage: 30 days).",,,,,,"Ghosh, Enakshi/0000-0003-4003-5876",,,,,,,,,,,,,0334-2123,1876-7184,,,,SEP,2019,47,4,,,,,523,529,,10.1007/s12600-019-00749-8,http://dx.doi.org/10.1007/s12600-019-00749-8,,,,,,,,,,,,,WOS:000492662100007,View Full Record in Web of Science
J,"Calama, R; Fortin, M; Pardos, M; Manso, R",,,,"Calama, Rafael; Fortin, Mathieu; Pardos, Marta; Manso, Ruben",,,Modelling spatiotemporal dynamics of Pinus pinea cone infestation by Dioryctria mendacella,FOREST ECOLOGY AND MANAGEMENT,,,,,,,,,,,,"Insect predation on seeds of forests species during the predispersal phase is a special case of plant-pest interaction in which, while plant survival and growth is not threatened, natural regeneration can be negatively affected. In the case of seeds with a high economic value, as is the case of nuts from the Mediterranean stone pine (Pinus pinea L), predispersal predation can also result in severe economic losses. The insect-seed relationship shows complex spatiotemporal dynamics, including patterns of dependency between fruit availability and fluctuations in insect population, occurrence of insect outbreaks, spatial contagion and masting habit. In the present study, we focus on the damage caused by a native pest, the Dioryctria mendacella Stgr. moth, to cones and seeds of P. pinea, a forest species showing a marked masting habit. We firstly identified those environmental and stand-level factors controlling the spatiotemporal pattern of damage by D. mendacella, as well as the self-regulatory effect that interannual variability in seed production could have on the population dynamics of the moth. In a second phase, we constructed a predictive phenomenological model to forecast the probability of cone damage in a given location, as well as the expected patterns of spatiotemporal spread and dispersion. Our results revealed a strong correlation between the probability of damage and crop size in a given year, pointing to a dependency between feeding resources and predator population. Additionally, the probability of damage is affected by the number of damaged cones observed in the previous year, indicating temporal contagion. Cone and seed damage is also affected by the temperature during different phases of the complex life-cycle of D. mendacella, which suggests that breakout processes are synchronized within the territory and linked to the occurrence of bumper crops and favorable climatic conditions. We detected that the level of infestation at a given location is related to site and environmental conditions, with no significant pattern of contagion/spreading from stands with high resource availability to those with low availability. Damage prediction under warmer climate scenarios reveals a counterbalance among favorable/unfavorable conditions for insect expansion and expected decline in cone production, resulting in only slight changes. (C) 2016 Elsevier B.V. All rights reserved.",,,,,"Calama, Rafael/G-6747-2012; PARDOS, MARTA/A-4797-2015; Manso, Rubén/AAL-9770-2021","Calama, Rafael/0000-0002-2598-9594; PARDOS, MARTA/0000-0002-5567-5406; Fortin, Mathieu/0000-0002-6436-2727",,,,,,,,,,,,,0378-1127,1872-7042,,,,APR 1,2017,389,,,,,,136,148,,10.1016/j.foreco.2016.12.015,http://dx.doi.org/10.1016/j.foreco.2016.12.015,,,,,,,,,,,,,WOS:000398868800014,View Full Record in Web of Science
J,"Ramirez, F; Davenport, TL; Fischer, G; Pinzon, JCA",,,,"Ramirez, Fernando; Davenport, Thomas L.; Fischer, Gerhard; Augusto Pinzon, Julio Cesar",,,The Stem Age Required for Floral Induction of Synchronized Mango Trees in the Tropics,HORTSCIENCE,,,,,,,,,,,,"The quantitative floral inductive role of the age of the last vegetative flush was investigated in replicated trials of two cultivars of mango (Mangifera indica L.), Keitt and Tommy Atkins, growing in tropical conditions of Cundinamarca State in Colombia. Empirical observations have indicated that stems must be in rest for sufficient time, generally 4 to 5 months, to be induced to flower in the absence of cool temperatures. Twelve trees per cultivar were tip-pruned to stimulate a synchronous flush of vegetative growth at the beginning of the experiments. The first of four sets, each consisting of three replicate trees among the 12, were sprayed with 4% potassium nitrate on a 2-week schedule beginning 2 months after the pruning date. Biweekly sprays continued in this first set until a growth response was observed, whereupon the set was retired from further observations, and the second set of three synchronized trees began receiving biweekly spray treatments until they initiated a growth flush. The schedule continued through the four successive sets of trees until the age of stems necessary to induce a flowering response was determined. Treatment applications were quantified using a one-m-square quadrate to determine the numbers of resting stems and vegetative and /or reproductive shoots contained within. KNO3 sprays applied 3 months after the pruning date stimulated initiation of vegetatively induced shoots in both 'Keitt' and 'Tommy Atkins' trees. Synchronous generative shoot initiation in 'Keitt' trees occurred in approximate to 75% and 100% of the stems after KNO3 sprays applied 5 and 6 months after the pruning date, respectively. Tommy Atkins, a cultivar that is more difficult to induce to flower than 'Keitt', had 18% of shoots flowering after the 5-month application and 100% flowering after the KNO3 application 6 months after the pruning date. None of the non-treated orchard trees flowered during this time. Stem age was the key factor correlated with flowering. The experimental trees, which were naturally habituated to experience two flowering periods per year, each within separate sections of tree canopy, were stimulated to produce one annual synchronized flowering event throughout the tree canopy as a result of the treatments.",,,,,"Ramírez, Fernando/AAF-8658-2021","Ramírez, Fernando/0000-0001-9117-6850; Fischer, Gerhard/0000-0001-8101-0507",,,,,,,,,,,,,0018-5345,2327-9834,,,,OCT,2010,45,10,,,,,1453,1458,,10.21273/HORTSCI.45.10.1453,http://dx.doi.org/10.21273/HORTSCI.45.10.1453,,,,,,,,,,,,,WOS:000282796900006,View Full Record in Web of Science
J,"Goetz, HM; Winder, CB; Costa, JHC; Creutzinger, KC; Uyama, T; Kelton, DF; Dunn, J; Renaud, DL",,,,"Goetz, H. M.; Winder, C. B.; Costa, J. H. C.; Creutzinger, K. C.; Uyama, T.; Kelton, D. F.; Dunn, J.; Renaud, D. L.",,,Characterizing the literature surrounding transportation of young dairy calves: A scoping review,JOURNAL OF DAIRY SCIENCE,,,,,,,,,,,,"Transportation is a stressful event for cattle, as it may involve various handling practices, commingling, deprivation of food and water, and fluctuating temperatures. Calves are particularly susceptible to these stressors because their physiological and immune systems are still developing. There has been no formal synthesis of the scientific literature evaluating the effect of transportation on young dairy calf health and performance; the aim of this scoping review is to describe and characterize this body of work. We targeted both descriptive and analytic studies examining transport of calves, including listing how the effect of transport has been evaluated. Eight databases were searched for relevant articles with eligible studies being primary research articles investigating transportation of calves of either sex who were younger than 60 d of age or weighed less than 100 kg. Two reviewers independently screened the title and abstracts of 6,859 articles with 361 potentially relevant articles screened at full text. Of these, 46 were relevant and had data extracted. Articles reporting study location were conducted in the United States (n = 5), Australia (n = 3), Japan (n = 3), and New Zealand (n = 3). Common transport-related variables evaluated included time in transit (n = 13), distance of transportation (n = 8), vehicle-related factors (n = 8), and age at time of transportation (n = 4). Outcome measures varied greatly, including blood parameters (n = 28), health assessments (n = 20), weight (n = 17), behavioral metrics (n = 14), mortality (n = 7), feed intake following transportation (n = 4), salivary cortisol concentrations (n = 3), morbidity (n = 3), and isolation of Salmonella Dublin in fecal samples (n = 2). Outcome parameters were measured during transport or ranged from immediately after to one year following transportation. As the transport-related risk factors and outcomes measured assessed varied widely between studies, future quantitative synthesis (e.g., meta-analysis) in this area may be limited. Several knowledge gaps were identified, including methods to prepare calves for transportation, such as improving nutrition, administering medication, or transporting calves at an older age or weight. Further research could also focus on consistent and clear reporting of key items related to study conduct and analysis, as well as the development of a core outcome set for calf transport studies.",,,,,"Renaud, David/AAD-6870-2019; Costa, Joao H. C./M-6660-2014","Renaud, David/0000-0002-3439-3987; Goetz, Hanne/0000-0001-9838-2921; Costa, Joao H. C./0000-0001-9311-4741; Uyama, Tamaki/0000-0002-2252-3043; Creutzinger, Katherine/0000-0002-6237-5145; Dunn, Jennifer/0000-0001-7286-691X; Kelton, David/0000-0001-9606-7602; Winder, Charlotte/0000-0002-7314-3657",,,,,,,,,,,,,0022-0302,1525-3198,,,,FEB,2022,105,2,,,,,1555,1572,,10.3168/jds.2021-21211,http://dx.doi.org/10.3168/jds.2021-21211,,,,,,,,34802745,,,,,WOS:000746200200027,View Full Record in Web of Science
J,"Coward, EK; Thompson, A; Plante, AF",,,,"Coward, Elizabeth K.; Thompson, Aaron; Plante, Alain F.",,,Contrasting Fe speciation in two humid forest soils: Insight into organomineral associations in redox-active environments,GEOCHIMICA ET COSMOCHIMICA ACTA,,,,,,,,,,,,"While the contribution of iron (Fe)-bearing minerals to organic carbon (C) stabilization in terrestrial systems is well-described, the influence of Fe solid-phase speciation on organomineral associations is unclear in highly dynamic, oxidation-reduction (redox)-active soils. In humid tropic forest soils, fluctuations in redox state accelerate weathering of Fe-bearing mineral phases, producing a spectrum of mineral sizes and bonding environments available for C stabilization, and confounding our understanding of C stability. Characterizing these Fe-bearing phases can improve predictions of the response of redox-active soil systems to climatic changes that may alter Fe mineral crystallinity and solubility, such as precipitation intensity, storm event frequency and temperature. Leveraging inorganic selective dissolution techniques, Fe-57 Mossbauer spectroscopy (MBS), specific surface area (SSA) analyses and X-ray diffraction (XRD), we investigated mineral speciation in surface soils of contrasting lithologies from the Luquillo Critical Zone Observatory (LCZO), Puerto Rico. The LCZO provides a model investigatory framework in which high C inputs to surface horizons by similar vegetation, topography and climatic forcings are intercepted by highly-weathered, volcaniclastic Oxisols or quartz diorite-derived Inceptisols, producing a gradient of Fe content and speciation. Strong correlations observed between Fe concentrations and extraction-induced changes in SSA indicated target Fe phases contribute substantially to SSA of the bulk mineral matrix. MBS analysis of untreated soils reveal both Oxisol and Inceptisol soils are largely composed of Fe-III-oxyhydroxides, accompanied by substantial Fe-II and silicate Fe-III contributions in Inceptisol soils. Fe-III-oxyhydroxides in the Oxisol soils were largely short-range-ordered (SRO), and notably, a fraction of particularly low-crystallinity Fe-III-oxyhydroxide mineral phases in these soils appear protected against harsh reductive dissolution, whereas the overall higher crystallinity Fe phases in the Inceptisol soils do not. These findings suggest that some high-SSA, SRO Fe-III phases, which likely also have high C sorption capacities, may be immobilized against reduction in these Oxisol soils. Consequently, C associated with these Fe-III phases may be preferentially stabilized in Oxisol soils, potentially driving disparate C mineralization and CO2 production rates across contrasting lithologies. (C) 2018 Elsevier Ltd. All rights reserved.",,,,,"Plante, Alain F./C-3498-2008","Plante, Alain F./0000-0003-0124-6187; Coward, Elizabeth/0000-0002-3279-8788; Thompson, Aaron/0000-0001-6301-7377",,,,,,,,,,,,,0016-7037,1872-9533,,,,OCT 1,2018,238,,,,,,68,84,,10.1016/j.gca.2018.07.007,http://dx.doi.org/10.1016/j.gca.2018.07.007,,,,,,,,,,,,,WOS:000441893500005,View Full Record in Web of Science
