Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Loi, D; Mossa, S; Cugliandolo, LF",,,,"Loi, Davide; Mossa, Stefano; Cugliandolo, Leticia F.",,,Effective temperature of active complex matter,SOFT MATTER,,,,,,,,,,,,We use molecular dynamics simulations to study the dynamics of an ensemble of interacting self-propelled semi-flexible polymers in contact with a thermal bath. Our intention is to model complex systems of biological interest. We find that an effective temperature allows one to rationalize the out-of-equilibrium dynamics of the system. This parameter is measured in several independent ways-from fluctuation-dissipation relations and by using tracer particles-and they all yield equivalent results. The effective temperature takes a higher value than the temperature of the bath when the effect of the motors is not correlated with the structural rearrangements they induce. We show how to use this concept to interpret experimental results and suggest possible innovative research directions.,,,,,"Mossa, Stefano/B-8230-2014; Cugliandolo, Leticia/M-9733-2013","Mossa, Stefano/0000-0001-6335-762X; ",,,,,,,,,,,,,1744-683X,1744-6848,,,,,2011,7,8,,,,,3726,3729,,10.1039/c0sm01484b,http://dx.doi.org/10.1039/c0sm01484b,,,,,,,,,,,,,WOS:000289173500008,View Full Record in Web of Science
J,"Pepin, S; Livingston, NJ",,,,"Pepin, S; Livingston, NJ",,,Rates of stomatal opening in conifer seedlings in relation to air temperature and daily carbon gain,PLANT CELL AND ENVIRONMENT,,,,,,,,,,,,"Experiments were conducted an well watered 1-year-old Douglas fir [Pseudotsuga menziesii (Mirb.) Franco], western hemlock [Tsuga heterophylla (Raf.) Sarg.] and western redcedar (Thuja plicata Donn) seedlings to determine the effects of temperature on whole-plant photosynthetic and stomatal responses to short-term fluctuations in irradiance (Q). Following a step change in Q, time constants (tau, the period over which 63% of the total change occurs) for stomatal conductance (g(s)) and assimilation rate (A) decreased linearly with increasing air temperature (T-air). For example, in western redcedar tau(A) decreased ham 30 +/- 4 min at 5 degrees C to 10 +/- 1 min at 25 degrees C. In all cases, tau(A) was within 10-15% of tau(gs). There was considerable variation in tau among individuals within a given species, Differences between species became more pronounced with decreasing temperature, Multiplicative models that included functions for tau accounted for 99% of the diurnal variability in A and g(s) for seedlings exposed to varying air temperature, irradiance and vapour pressure deficit, Estimates of daily A were within 2% of those measured. intermittent cloud cover and understory shading were approximated by exposing seedlings to 3-4 episodes (greater than or equal to 1 h) of shade (200 or 500 mu mol m(-2) s(-1)) or complete darkness during the day. In such cases, daily A was overestimated by up Po 4 and 21%, respectively, if a function for tau was excluded from the models, Our results suggest that there is scope for selecting seedling stock for increased carbon assimilation on the basis of reduced time constants, For example, in western redcedar, a 40% reduction in tau could lead to increases in daily carbon gains of almost 5% depending on the frequency and degree of shading, If these daily gains were translated into increased dry matter production and compounded, seasonal gains would be even larger.",,,,,,"Pepin, Steeve/0000-0002-2003-5687",,,,,,,,,,,,,0140-7791,,,,,DEC,1997,20,12,,,,,1462,1472,,10.1046/j.1365-3040.1997.d01-40.x,http://dx.doi.org/10.1046/j.1365-3040.1997.d01-40.x,,,,,,,,,,,,,WOS:000071562300003,View Full Record in Web of Science
J,"Gienger, CM; Tracy, CR; Zimmerman, LC",,,,"Gienger, C. M.; Tracy, C. Richard; Zimmerman, Linda C.",,,"Thermal responses to feeding in a secretive and specialized predator (Gila monster, Heloderma suspectum)",JOURNAL OF THERMAL BIOLOGY,,,,,,,,,,,,"We investigate how a unique dietary specialist, the Gila monster (Heloderma suspectum), uses behavioral thermoregulation to elevate body temperature (T-b) after feeding. Lizards in a laboratory thermal gradient were fed rodent meals of three different sizes (5, 10, or 20% of body mass), or sham fed (meal of 0% body mass), and T(b)s were recorded for three days before feeding and seven days after feeding. Gila monsters selected a mean T-b of 25.2 degrees C while fasting (set-point range 23.6-27.1), and increased T(b)s after feeding. The magnitude and duration of post-prandial T-b increases are positively related to meal size, and Gila monsters selected mean T(b)s up to 3.0 degrees C higher and maintain elevated T(b)s for 3-6 days after feeding. Selection of T-b does not appear to differ between day and night time periods, and because the lizards are both diurnal and nocturnal (at different times of year), photoperiod may not be an important influence on T-b selection. (C) 2012 Elsevier Ltd. All rights reserved.",,,,,"Gienger, C.M./D-1759-2010","Gienger, C.M./0000-0001-5045-3321",,,,,,,,,,,,,0306-4565,,,,,APR,2013,38,3,,,,,143,147,,10.1016/j.jtherbio.2012.12.004,http://dx.doi.org/10.1016/j.jtherbio.2012.12.004,,,,,,,,,,,,,WOS:000317026100004,View Full Record in Web of Science
J,"Do, FC; Ayutthaya, SIN; Rocheteau, A",,,,"Do, F. C.; Ayutthaya, S. Isarangkool Na; Rocheteau, A.",,,Transient thermal dissipation method for xylem sap flow measurement: implementation with a single probe,TREE PHYSIOLOGY,,,,,,,,,,,,"Comparisons of tree water relations between treatments, species and sites are facilitated by the use of simple and low-cost measurements of xylem sap flow rates. The transient thermal dissipation (TTD) method is a variant of the constant thermal dissipation (CTD) method of Granier. It has the advantages of limiting thermal interference and of saving electrical energy. Here, our concern was to test a new step towards simplicity and low cost: the applicability of the TTD method with a single probe, i.e., without a reference sensor, following a cycle of 10 min heating and 10 min cooling, and using the same thermal index and multi-species calibration previously assessed with a dual probe. First, the responses of the dual and single probes were compared in an artificial hydraulic column of sawdust in the laboratory over a complete range of flux densities, from 0.3 to 4.0 l dm(-2) h(-1). Second, diurnal kinetics were compared in a young tree with rapid changes in the sapwood reference temperature of up to 5 degrees C h(-1) for 5 consecutive days. With a relatively stable reference temperature, laboratory results showed that a single probe yielded the same temperature signal and thermal index as a dual probe for the full range of sap flux densities. Within the tree, the cooled temperature of the heated probe, linearly interpolated, proved to be an accurate indicator of the change in the reference temperature over time. Logically, the temperature signals and estimates of sap flux density with the single probe did not differ from the dual-sensor measurements when the cooled temperature was interpolated. Additionally, the responses of the thermal index, yielded in the hydraulic experiment with the sawdust column, fell within the variability of the multi-species calibration. This result supports the previous assessment of a non-species-specific calibration for the TTD method with diffuse porous media. In conclusion, our results showed that the TTD method can be directly applied with a single probe. Limitations and possible future progress are pointed out. This measurement system is probably the simplest technique currently available to measure xylem sap flow.",,,,,"C., F./Q-8274-2019","Isarangkool Na Ayutthaya, Supat/0000-0002-5354-1527",,,,,,,,,,,,,0829-318X,1758-4469,,,,APR,2011,31,4,,,,,369,380,,10.1093/treephys/tpr020,http://dx.doi.org/10.1093/treephys/tpr020,,,,,,,,21498407,,,,,WOS:000290590100003,View Full Record in Web of Science
J,"Ebeid, TA",,,,"Ebeid, T. A.",,,Organic selenium enhances the antioxidative status and quality of cockerel semen under high ambient temperature,BRITISH POULTRY SCIENCE,,,,,,,,,,,,"1. The objective was to examine the effect of supplemental dietary organic selenium (Se) on improving semen quality and antioxidative status in male domestic fowls exposed to high ambient temperature. 2. Thirty-six Egyptian local cross males, 42 weeks old, were housed individually in cages in an open-sided building under 16 h L:8 h D and were provided with commercial feed and water ad libitum. In the house average daily temperature ranged from 33 to 36 degrees C and relative humidity from 60 to 70%. Birds were divided into 4 experimental treatments (n = 9) and were fed the basal diet supplemented with 0 (control), 01, 02 or 03 mg organic Se/kg in the form of a yeast source (Sel-Plex (R)) for 8 weeks. 3. Under heat stress conditions, inclusion of organic Se in the cockerel diets enhanced the semen quality traits, including the sperm count and motility and reduced the percentage of dead sperms in a dose-dependent manner. 4. In seminal plasma, organic Se supplementation ameliorated some of the adverse effects of heat stress on lipid peroxidation and antioxidative properties. The inclusion of organic Se (03 mg/kg) in the cockerel diets doubled seminal plasma glutathione peroxidase (GSH-Px) activity, compared to controls and reduced lipid peroxidation. 5. In conclusion, supplemental dietary organic Se improved semen quality characteristics when cockerels were subjected to heat stress. It increased both sperm count and motility, reduced the percentage of dead sperm and enhanced the antioxidative status of seminal plasma.",,,,,"Ebeid, Tarek Amin/G-1855-2011","Ebeid, Tarek Amin/0000-0002-1719-7116",,,,,,,,,,,,,0007-1668,1466-1799,,,,,2009,50,5,,,,,641,647,PII 916726355,10.1080/00071660903303415,http://dx.doi.org/10.1080/00071660903303415,,,,,,,,19904644,,,,,WOS:000271650000014,View Full Record in Web of Science
J,"Silvani, X; Morandini, F; Muzy, JF",,,,"Silvani, Xavier; Morandini, Frederic; Muzy, Jean-Francois",,,Wildfire spread experiments: Fluctuations in thermal measurements,INTERNATIONAL COMMUNICATIONS IN HEAT AND MASS TRANSFER,,,,,,,,,,,,"This paper presents a set of four fire spread experiments conducted in the open (i.e. far from the laboratory scale). Plot areas range from 60 to 1250 m(2). Thermal measurements, namely gas temperature and radiant flux densities, have been performed during the spread of large scale fire fronts. The data collected during these experiments are processed and discussed in order to evaluate the contribution to the thermal radiation of both long term and fluctuating parts of the temperature field. This study presents pioneering measurements about the heat transfer governing a wildfire spread in the open. Second, this work attempts to evaluate the incidence of fluctuations in thermal data. Using simple statistical assumptions we show that neglecting fluctuations of the thermal source can lead to underestimate the radiant flux density emitted ahead of the fire front and therefore, the related fire hazard. (C) 2009 Elsevier Ltd. All rights reserved.",,,,,"Silvani, Xavier/M-9625-2018","Silvani, Xavier/0000-0002-0387-1667; Muzy, Jean-Francois/0000-0003-0956-7874",,,,,,,,,,,,,0735-1933,,,,,NOV,2009,36,9,,,,,887,892,,10.1016/j.icheatmasstransfer.2009.06.008,http://dx.doi.org/10.1016/j.icheatmasstransfer.2009.06.008,,,,,,,,,,,,,WOS:000271334300001,View Full Record in Web of Science
J,"Bonicelli, J; Tapia, FJ; Navarrete, SA",,,,"Bonicelli, Jessica; Tapia, Fabian J.; Navarrete, Sergio A.",,,Wind-driven diurnal temperature variability across a small bay and the spatial pattern of intertidal barnacle settlement,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,,,,,,,,"Temperature variability under different wind conditions and its association with the spatial pattern of settlement of three intertidal barnacles - the chthamaloids Jehlius cirratus and Notochthamalus scabrosus, and the balanoid Notobalanus flosculus - were studied across Cartagena Bay, locatedin the upwelling region of central Chile. During days of strong winds, the diurnal signal in surface temperature at the protected end of the bay (site CTGN) was attenuated and decoupled from the northern sites (ECIM and PCHC) which are directly exposed to wind forcing, suggesting that wind intensity drives shifts in the relative importance of physical transport processes across the bay. Overall, the mean settlement rates of both chthamaloids were higher at PCHC, whereas N.flosculus settled at higher rates in CTGN. Under strong wind conditions, settlement rates of both chthamaloids decreased at the northern sites, while the settlement of N. flosculus reached minima at all three sites. Moreover, the effect of wind stress on the spatial pattern of settlement across the bay differed between species. A significant and positive correlation between the spatial heterogeneity of settlement and maximum daily wind stress - used as a metric for the intensity of the afternoon sea breeze was found only for J. cirratus. It is concluded that daily changes in wind stress have a strong effect on the spatial pattern of diurnal temperature fluctuations, and on the spatial pattern of barnacle settlement around the bay. Such association emerges from the effect of wind on near-shore circulation and its differential modulation of thermal structure around an open embayment and, by extension, on the patterns of larval transport and onshore delivery to sites located at extremes of the bay, which probably is common in other bays with similar characteristics. (C) 2014 Elsevier B.V. All rights reserved.",,,,,,"Tapia, Fabian/0000-0001-9661-6069",,,,,,,,,,,,,0022-0981,1879-1697,,,,DEC,2014,461,,,,,,350,356,,10.1016/j.jembe.2014.09.003,http://dx.doi.org/10.1016/j.jembe.2014.09.003,,,,,,,,,,,,,WOS:000346894900042,View Full Record in Web of Science
J,"Ahn, JJ; San Choi, K; Huang, YB",,,,"Ahn, Jeong Joon; San Choi, Kyung; Huang, Yu-Bing",,,Thermal effects on the development of Zeugodacus cucurbitae (Coquillett) (Diptera: Tephritidae) and model validation,PHYTOPARASITICA,,,,,,,,,,,,"The melon fruit fly Zeugodacus cucurbitae (Coquillett) is a major polyphagous insect pest with a worldwide distribution. The effects of temperature on the development of Z. cucurbitae were investigated at eight constant temperatures. Freshly deposited egg and emerged larvae of Z. cucurbitae were used for experiment and the development of eggs, larvae and pupae was examined daily. With the exception of the lowest temperature (12.0 degrees C), Z. cucurbitae developed successfully from the egg stage to the adult stage at all the assessed temperatures. The lower developmental thresholds and thermal constants of each life stage were determined using linear regression. The lower and higher temperature thresholds were estimated using the Lobry-Rosso-Flandrois (LRF) and Sharpe-Schoolfield-Ikemoto (SSI) models. The lower developmental threshold and thermal constant from egg to adult emergence were 10.7 degrees C and 218.7 degree-days, respectively. The intrinsic optimum temperatures of the egg, larval, pupal and egg to pupal stages were 30.3, 24.4, 24.5, and 25.7 degrees C, respectively. Using the SSI model, we determined a temperature range of 23.1 degrees C (13.3-36.4 degrees C) for the total immature stage of Z. cucurbitae from lower and higher temperature threshold. The cumulative 50% adult emergence estimated using the SSI model was approximately 1 day later than that observed from Momordica charantia L., which was used for validating the distribution of adult Z. cucurbitae emergence. We elucidated the thermal performance of Z. cucurbitae using linear and non-linear models, and these models will contribute to the development of an effective management program for Z. cucurbitae.",,,,,,,,,,,,,,,,,,,0334-2123,1876-7184,,,,JUL,2022,50,3,,,,,601,616,,10.1007/s12600-022-00985-5,http://dx.doi.org/10.1007/s12600-022-00985-5,,FEB 2022,,,,,,,,,,,WOS:000754342800001,View Full Record in Web of Science
J,"Wrege, MS; Caramori, PH; Goncalves, SL; de Almeida, WP; Marur, CJ; Pires, JR; Yamaoka, RS",,,,"Wrege, MS; Caramori, PH; Goncalves, SL; de Almeida, WP; Marur, CJ; Pires, JR; Yamaoka, RS",,,"Cotton zoning based on sowing periods of lower risk in Parana State, Brazil",BRAZILIAN ARCHIVES OF BIOLOGY AND TECHNOLOGY,,,,,,,,,,,,"Cotton is cultivated in the North and West of Parana State, southern Brazil, under conditions of climatic risk variable in space and time. Risks of temperature below 15 degrees C at the establishment period, daily average temperature below 20 degrees C at the stage of cotton boil opening, and soil water deficit for both plant establishment and flowering periods, were estimated to identify homogeneous zones with sowing periods of lower climatic risk. The time interval with adequate temperature, associated with minimum risks of the other factors and yield data from field experiments allowed the identification of seven distinct zones, with best sowing periods ranging from September 20 to November 20. Official credit to the farmers is conditioned by the Central Bank of Brazil upon following these recommendation of best sowing periods for each municipality.",,,,,"Wrege, Marcos Silveira/E-5400-2014","Wrege, Marcos Silveira/0000-0002-6368-6586",,,,,,,,,,,,,0365-0979,,,,,,2000,43,1,,,,,71,79,,10.1590/S1516-89132000000100010,http://dx.doi.org/10.1590/S1516-89132000000100010,,,,,,,,,,,,,WOS:000087377400010,View Full Record in Web of Science
J,"Wang, Z; Lu, HL; Ma, L; Ji, X",,,,"Wang, Zheng; Lu, Hong-Liang; Ma, Li; Ji, Xiang",,,Viviparity in high-altitude Phrynocephalus lizards is adaptive because embryos cannot fully develop without maternal thermoregulation,OECOLOGIA,,,,,,,,,,,,"Viviparous Phrynocephalus lizards (Agamidae) are mainly restricted to the Qinghai-Tibet Plateau of China. In this study, we used Phrynocephalus vlangalii females kept under seven thermal regimes for the whole gestation period to test the hypothesis that viviparity in high-altitude Phrynocephalus lizards is adaptive because embryos cannot fully develop without maternal thermoregulation. All females at 24 A degrees C and 93 % of the females at 28 A degrees C failed to give birth or produced stillborns, and proportionally fewer females gave birth at 29 or 35 A degrees C than at 32 A degrees C. Though the daily temperatures encountered were unsuitable for embryonic development, 95 % of the females in nature and 89 % of the females thermoregulating in the laboratory gave birth. There was no shift in the thermal preferences of females when they were pregnant. Although thermal conditions inside natural burrows were unsuitable for embryonic development, mass and sprint speed were both greater in neonates produced in nature. Our data show that (1) long-term exposure of P. vlangalii embryos to temperatures outside the range of 29-35 A degrees C may result in the failure of development, but daily or short-term exposure may not necessarily increase embryonic mortality; (2) low gestation temperatures slow but do not arrest embryonic development, and females produce high-quality offspring in the shortest possible time by maintaining gestation temperatures close to the upper thermal limit for embryonic development; and (3) viviparity is currently adaptive at high elevations because embryos in nature cannot fully develop without relying on maternal thermoregulation. Our data validate the hypothesis tested.",,,,,,,,,,,,,,,,,,,0029-8549,1432-1939,,,,MAR,2014,174,3,,,,,639,649,,10.1007/s00442-013-2811-8,http://dx.doi.org/10.1007/s00442-013-2811-8,,,,,,,,24169942,,,,,WOS:000332002300004,View Full Record in Web of Science
