Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Wehrend, A; Fritzemeier, J; Flogel-Niesmann, G; Monnig, V; Hollen-Horst, M; Meinecke, B",,,,"Wehrend, A.; Fritzemeier, J.; Floegel-Niesmann, G.; Moennig, V.; Hollen-Horst, M.; Meinecke, B.",,,Effect of experimental classical swine fever (CSF) infection on libido and ejaculate parameters in boars.,DEUTSCHE TIERARZTLICHE WOCHENSCHRIFT,,,,,,,,,,,,"Semen was collected every second day after infection and daily during the pyrexic phase. The only clinical signs in the boars were an increase in body temperature, but never above 39.9 degrees C and a temporally reduction of food intake. The libido was always good, so semen collection was performed in three boars without difficulty and the semen quality was always in the range of the minimum requirements for sperm that is used for artificial insemination. Although one boar had a good libido only a sperm free ejaculate could be collected on one day. The results show that a CSF virus infection of adult boars hardly causes any clinical symptoms and that sperm can be obtained despite fever. Insemination boars may thus be of special epidemiological relevance for the dissemination of the CSF virus.",,,,,,,,,,,,,,,,,,,0341-6593,,,,,JUL,2006,113,7,,,,,251,255,,,,,,,,,,,16892703,,,,,WOS:000240115400001,View Full Record in Web of Science
J,"Udyawer, V; Read, M; Hamann, M; Simpfendorfer, CA; Heupel, MR",,,,"Udyawer, Vinay; Read, Mark; Hamann, Mark; Simpfendorfer, Colin A.; Heupel, Michelle R.",,,Effects of environmental variables on the movement and space use of coastal sea snakes over multiple temporal scales,JOURNAL OF EXPERIMENTAL MARINE BIOLOGY AND ECOLOGY,,,,,,,,,,,,"Natural and anthropogenic changes in the marine environment can strongly influence the biology and behaviour of coastal organisms. Understanding how animals that rely on these habitats respond to environmental change is crucial to inform when management actions should be implemented to mitigate or reduce impacts. Here passive acoustic telemetry was used to monitor the movements of spine-bellied sea snakes (Hydrophis curtus) within a coastal ecosystem to define activity patterns in relation to environmental conditions. Presence, movement and three-dimensional home range metrics calculated from monitoring data were tested against environmental (water temperature, atmospheric pressure, wind speed, accumulated rainfall and tidal range) and biological (snout-vent length) factors on daily and monthly temporal scales to identify key environmental drivers of movement and the use of space. A generalised linear mixed model (GLMM) framework using Akaike information criterion (AIC) indicated that tidal reach and atmospheric pressure strongly influenced the daily presence and movements of tagged individuals, respectively. Accumulated rainfall significantly influenced the volume of space used on a monthly timescale. This study presents first estimates of three-dimensional home ranges of sea snakes as well as novel information on how environmental variables influence daily and monthly presence, movements and use of space of coastal sea snakes. These data are important in further understanding the ecology of sea snakes and can inform future management actions for this poorly studied taxon in the light of increased environmental and anthropogenic disturbances. (C) 2015 Elsevier B.V. All rights reserved.",,,,,"Udyawer, Vinay/L-9432-2019; Simpfendorfer, Colin A/G-9681-2011","Udyawer, Vinay/0000-0001-5812-0740; Simpfendorfer, Colin A/0000-0002-0295-2238; Heupel, Michelle/0000-0002-8245-7332; Hamann, Mark/0000-0003-4588-7955",,,,,,,,,,,,,0022-0981,1879-1697,,,,DEC,2015,473,,,,,,26,34,,10.1016/j.jembe.2015.07.011,http://dx.doi.org/10.1016/j.jembe.2015.07.011,,,,,,,,,,,,,WOS:000364259000004,View Full Record in Web of Science
J,"Crozier, L",,,,"Crozier, L",,,Winter warming facilitates range expansion: cold tolerance of the butterfly Atalopedes campestris,OECOLOGIA,,,,,,,,,,,,"Our ability to predict ecological and evolutionary responses to climate change requires an understanding of the mechanistic links between climate and range limits. The warming trend over the past half-century has generated numerous opportunities to develop much-needed case studies of these links. Species that are only limited by climatic factors are likely to shift range quickly during periods of warming. Such species directly impact recipient communities and indicate trends that will become more widespread. Because minimum temperature (T-min) is rising at twice the rate of maximum temperature, species with this range-limiting factor may be especially responsive to global warming. In this study, I test the hypothesis that rising T-min has directly affected the range of a skipper butterfly. Atalopedes campestris has moved northward rapidly this century, recently colonizing eastern Washington where January T-min has risen 3degreesC in 50 years. The results show that: 1. A. campestris' range lies completely within the -4degreesC January average minimum isotherm, and that recently colonized areas were below this threshold earlier this century. 2. In acute cold stress experiments, -4 to -7degreesC proved to be a critical thermal limit: median supercooling point was -6.3degreesC, and minimum lethal temperature (LT50 with 12-h exposure) was -5.7degreesC. 3. In chronic cold stress experiments, survivorship declined sharply in diurnally fluctuating thermal regimes typical of the current range edge. High mortality occurred under constant 0degreesC conditions as well as in fluctuating regimes, implying that thermal insulation from snow would not protect A. campestris. 4. There was no evidence of evolution in cold tolerance at the range margin, despite strong selection. Thus, winter warming was apparently a prerequisite for the range expansion. Characteristics of this species that seem to be associated with its rapid response are that it is an opportunistic species, it is not habitat or dispersal limited, and it is constrained by T-min.",,,,,,,,,,,,,,,,,,,0029-8549,,,,,MAY,2003,135,4,,,,,648,656,,10.1007/s00442-003-1219-2,http://dx.doi.org/10.1007/s00442-003-1219-2,,,,,,,,12684862,,,,,WOS:000183722700020,View Full Record in Web of Science
J,"Bevilacqua, P; Mazzeo, D; Arcuri, N",,,,"Bevilacqua, Piero; Mazzeo, Domenico; Arcuri, Natale",,,Thermal inertia assessment of an experimental extensive green roof in summer conditions,BUILDING AND ENVIRONMENT,,,,,,,,,,,,"Passive solutions for building envelopes such as green roofs are regarded as promising tools to reduce the energy demand for buildings air-conditioning and to improve the thermal comfort of indoor spaces. It is therefore necessary to quantify and assess properly the summer thermal performance and to determine how a green roof cover can attenuate and delay the temperature and heat flux acting on its surface. The paper deals with an experimental investigation of the dynamic thermal characteristics of a vegetated roof situated on a university building roof in south Italy. An analysis of the daily values of dynamic parameters showed a quite stable trend of the decrement factor with variation in the range 0.0982-0.1920. The time lag exhibited a trend ranging from 7.2 h to 8.5 h. A successive analysis was developed decomposing the trends of temperature into Fourier series to assess the response of the vegetated systems to solicitations of different frequencies and to assess the deviations, in the calculation of the dynamic parameters, arising from considering a sinusoidal variation with a 24 h period of the external forcing, in accordance with the International Standard EN ISO 13786, compared to the experimental values. The green roofs showed a behaviour similar to a high-pass frequency system, and relative errors, by using only the fundamental harmonic under 10% were found for 72.9% of the cases for the decrement factor and for 93.8% of the data for the time lag. Results demonstrated that when climatic conditions of the location are more irregular then the predictions of the dynamic parameters considering only the fundament harmonic instead of the real trend of the forcing can provide more relevant errors.",,,,,"Mazzeo, Domenico/O-1741-2014; Bevilacqua, Piero/X-8577-2019; Arcuri, Natale/AFU-6821-2022","Mazzeo, Domenico/0000-0001-7253-2506; Bevilacqua, Piero/0000-0003-3631-686X; Arcuri, Natale/0000-0003-2322-6523",,,,,,,,,,,,,0360-1323,1873-684X,,,,MAR,2018,131,,,,,,264,276,,10.1016/j.buildenv.2017.11.033,http://dx.doi.org/10.1016/j.buildenv.2017.11.033,,,,,,,,,,,,,WOS:000425571200024,View Full Record in Web of Science
C,"Wang, C; Zhang, G; Rom, HB; Strom, JS; Li, B",,,ASAE,"Wang, C.; Zhang, G.; Rom, H. B.; Strom, J. S.; Li, B.",,,Comparing model estimation with measured ammonia emission data for naturally ventilated dairy cattle buildings with slatted floor,"Livestock Environment VII, Proceedings",,,,,7th International Symposium on Livestock Environment,"MAY 18-20, 2005","China Agr Univ, Beijing, PEOPLES R CHINA",Soc Engn Agr Food & Biol Syst,China Agr Univ,,,Laboratory experiments were carried out in a wind tunnel with a model of a slurry pit to investigate the characteristics of ammonia emission from dairy cattle buildings with a slatted floor. Ammonia emission at different temperatures and air velocities over the floor surface above the slurry pit was measured with uniform feces spreading and urine sprinkling on the surface daily. The data were used to improve a model for estimation of ammonia emission from dairy cattle buildings. Estimation results from the updated emission model were compared with measured data from 5 naturally ventilated dairy cattle buildings. The overall measured ammonia emission rates were in the range of 10-56 g/day per cow at air temperatures of 2.3-22.4 degrees C. The model simulated emission rates were in the range of 8-65 g/day per cow for the surveyed buildings. The average simulated ammonia emission rate was 15.6% higher than the mean measured value. An example of simulated and measured ammonia emission patterns for a 24-hour period is given.,,,,,"Zhang, Guoqiang/N-1867-2018",,,,,,,,,,,,,,,,978-1-892769-48-0,,,,2005,,,,,,,411,418,,,,,,,,,,,,,,,,WOS:000243593000053,View Full Record in Web of Science
J,"Laurent, JGC; Williams, A; Oulhote, Y; Zanobetti, A; Allen, JG; Spengler, JD",,,,"Laurent, Jose Guillermo Cedeno; Williams, Augusta; Oulhote, Youssef; Zanobetti, Antonella; Allen, Joseph G.; Spengler, John D.",,,Reduced cognitive function during a heat wave among residents of non-air-conditioned buildings: An observational study of young adults in the summer of 2016,PLOS MEDICINE,,,,,,,,,,,,"Background In many regions globally, buildings designed for harnessing heat during the cold exacerbate thermal exposures during heat waves (HWs) by maintaining elevated indoor temperatures even when high ambient temperatures have subdued. While previous experimental studies have documented the effects of ambient temperatures on cognitive function, few have observed HW effects on indoor temperatures following subjects' habitual conditions. The objective was to evaluate the differential impact of having air conditioning (AC) on cognitive function during a HW among residents of AC and non-AC buildings using a prospective observational cohort study. Methods We followed 44 students (mean age = 20.2 years; SD = 1.8 years) from a university in the Greater Boston area, Massachusetts in the United States living in AC (n = 24) and non-AC (n = 20) buildings before, during, and after a HW. Two cognition tests were self-administered daily for a period of 12 days (July 9 - July 20, 2016), the Stroop color-word test (STROOP) to assess selective attention/processing speed and a 2-digit, visual addition/subtraction test (ADD) to evaluate cognitive speed and working memory. The effect of the HW on cognitive function was evaluated using difference-in-differences (DiD) modelling. Findings Mean indoor temperatures in the non-AC group (mean = 26.3 degrees C; SD = 2.5 degrees C; range = 19.6 - 30.4 degrees C) were significantly higher (p < 0.001) than in the AC group (mean = 21.4 degrees C; SD = 1.9 degrees C; range = 17.5 - 25.0 degrees C). DiD estimates show an increase in reaction time (STROOP = 13.4%, p < 0001; ADD = 13.3%, p < 0.001) and reduction in throughput (STROOP = -9.9%, p < 0.001; ADD = -6.3%, p = 0.08) during HWs among non-AC residents relative to AC residents at baseline. While ADD showed a linear relationship with indoor temperatures, STROOP was described by a U-shaped curve with linear effects below and above an optimum range (indoor temperature = 22 degrees C - 23 degrees C), with an increase in reaction time of 16 ms/degrees C and 24 ms/degrees C for STROOP and ADD, respectively. Cognitive tests occurred right after waking, so the study is limited in that it cannot assess whether the observed effects extended during the rest of the day. Although the range of students' ages also represents a limitation of the study, the consistent findings in this young, healthy population might indicate that greater portions of the population are susceptible to the effects of extreme heat. Conclusions Cognitive function deficits resulting from indoor thermal conditions during HWs extend beyond vulnerable populations. Our findings highlight the importance of incorporating sustainable adaptation measures in buildings to preserve educational attainment, economic productivity, and safety in light of a changing climate.",,,,,,"Williams, Augusta/0000-0002-1496-8931",,,,,,,,,,,,,1549-1277,1549-1676,,,,JUL,2018,15,7,,,,,,,e1002605,10.1371/journal.pmed.1002605,http://dx.doi.org/10.1371/journal.pmed.1002605,,,,,,,,29990359,,,,,WOS:000440339700013,View Full Record in Web of Science
J,"Xu, L; Zhan, XW; Yu, TT; Nie, LX; Huang, JL; Cui, KH; Wang, F; Li, Y; Peng, SB",,,,"Xu, Le; Zhan, Xuewu; Yu, Tingting; Nie, Lixiao; Huang, Jianliang; Cui, Kehui; Wang, Fei; Li, Yong; Peng, Shaobing",,,"Yield performance of direct-seeded, double-season rice using varieties with short growth durations in central China",FIELD CROPS RESEARCH,,,,,,,,,,,,"The labor shortage requires that double-season rice be planted with direct-seeded crop establishment. Only the varieties with short growth durations can be used in direct-seeded, double-season rice under subtropical conditions in central China in which the thermal time is limited. The objective of this study was to evaluate the grain yield and associated plant traits of direct-seeded, double-season rice using varieties with short growth durations. Field experiments were conducted using five short-duration varieties in the early and late seasons of 2015 and 2016 in Wuxue County, Hubei Province, central China. The grain yield ranged from 6.40 to 9.88 t ha(-1) with a total growth duration of 89 to 105 d across varieties, seasons, and years. The wide difference in grain yield was attributed to the spikelets per panicle and biomass production. Overall, Zaoxian615 (ZX615) produced relatively high grain yield across seasons and years among the five varieties due to its tall plants, heavy panicles, and high crop growth rate. The high temperatures during the vegetative stage and low daily minimum temperatures during the ripening period were critical for the yield performance of the early-season rice, whereas the grain yield of the late-season rice was largely driven by the high daily solar radiation during the reproductive and ripening periods. Our results suggested that rice breeders should develop short-duration rice varieties with a high crop growth rate and biomass production through desirable plant traits of tall plants and heavy panicles to further improve the grain yield of direct-seeded, double-season rice in central China.",,,,,"Xu, Le/GWQ-3685-2022","Xu, Le/0000-0003-4664-3135",,,,,,,,,,,,,0378-4290,1872-6852,,,,OCT 1,2018,227,,,,,,49,55,,10.1016/j.fcr.2018.08.002,http://dx.doi.org/10.1016/j.fcr.2018.08.002,,,,,,,,,,,,,WOS:000444930000006,View Full Record in Web of Science
J,"Rongwang, ZW; Jian, H; Xin, W; Zhang, JA; Fei, H",,,,Zhang Rongwang; Huang Jian; Wang Xin; Zhang Jun A; Huang Fei,,,Effects of precipitation on sonic anemometer measurements of turbulent fluxes in the atmospheric surface layer,JOURNAL OF OCEAN UNIVERSITY OF CHINA,,,,,,,,,,,,"Effects caused by precipitation on the measurements of three-dimensional sonic anemometer are analyzed based on a field observational experiment conducted in Maoming, Guangdong Province, China. Obvious fluctuations induced by precipitation are observed for the outputs of sonic anemometer-derived temperature and wind velocity components. A technique of turbulence spectra and cospectra normalized in the framework of similarity theory is utilized to validate the measured variables and calculated fluxes. It is found that the sensitivity of sonic anemometer-derived temperature to precipitation is significant, compared with that of the wind velocity components. The spectra of wind velocity and cospectra of momentum flux resemble the standard universal shape with the slopes of the spectra and cospectra at the inertial subrange, following the -2/3 and -4/3 power law, respectively, even under the condition of heavy rain. Contaminated by precipitation, however, the spectra of temperature and cospectra of sensible heat flux do not exhibit a universal shape and have obvious frequency loss at the inertial subrange. From the physical structure and working principle of sonic anemometer, a possible explanation is proposed to describe this difference, which is found to be related to the variations of precipitation particles. Corrections for errors of sonic anemometer-derived temperature under precipitation is needed, which is still under exploration.",,,,,"Wang, Xin/B-4624-2012; Zhang, Jun A/F-9580-2012; Zhang, Rongwang/D-7143-2019","Wang, Xin/0000-0002-7323-2289; Zhang, Jun A/0000-0003-3713-0223; Zhang, Rongwang/0000-0001-6870-474X",,,,,,,,,,,,,1672-5182,1993-5021,,,,JUN,2016,15,3,,,,,389,398,,10.1007/s11802-016-2804-4,http://dx.doi.org/10.1007/s11802-016-2804-4,,,,,,,,,,,,,WOS:000376023100002,View Full Record in Web of Science
J,"Sohrabi, S; Ghanbari, A; Mohassel, MHR; Gherekhloo, J; Vidal, RA",,,,"Sohrabi, S.; Ghanbari, A.; Mohassel, M. H. R.; Gherekhloo, J.; Vidal, R. A.",,,Effects of environmental factors on Cucumis melo L. subsp agrestis var. agrestis (Naudin) Pangalo seed germination and seedling emergence,SOUTH AFRICAN JOURNAL OF BOTANY,,,,,,,,,,,,"Cucumis melo L. subsp. agrestis var. agrestis (Naudin) Pangalo (wild melon) is an invasive plant in many parts of Asia and North America. The reproduction of this species is by seeds, thus laboratory experiments were conducted in order to determine the cardinal temperatures and the effects of fluctuating temperature, heat, flooding stress, pH, seed longevity, and depth of burial onwild melon seed germination and seedling emergence. Of the three models tested, the intersected lines model best estimated the cardinal temperatures. The base, optimum, and maximum temperatures for wild melon seed germination were estimated as 20, 35, and 45 degrees C, respectively. The highest germination rates of wild melon were obtained at 30/20 degrees C and 35/25 degrees C (day/night). Only long exposure periods (up to 10 days) at 90 degrees C or greater than 5 min at 120 degrees C were efficient at reducing the germination of wild melon seeds. Flooding had limited impact on reducing wild melon seed germination until the third month after the treatment. The seeds of this weed germinated across a wide range of pH values, but germination rates were higher under acidic (pH 5) rather than basic (pH 8 and 9) conditions. Seed germination of wild melon, declined to 50% by the 23rd month after burial in the soil at 15 cm depth. Emergence of wild melon seedlings was higher at shallower burial depths than at deeper ones. These results suggest that the successful invasion of wild melon in an area can be explained, in part, by its tolerance to a wide range of environmental conditions. The combination of seed longevity, lack of seed dormancy and rapid seed germination under favourable climatic conditions may explain its rapid establishment as a weed in summer crops. Among the management strategies that can be used to limit the infestation of wild melon in the fields, burying seed deeply during soil preparation seems to be the most promising. (C) 2016 SAAB. Published by Elsevier B.V. All rights reserved.",,,,,,"Ghanbari, Ali/0000-0002-2300-929X; ghanbari, ali/0000-0001-9681-5893",,,,,,,,,,,,,0254-6299,1727-9321,,,,JUL,2016,105,,,,,,1,8,,10.1016/j.sajb.2016.03.002,http://dx.doi.org/10.1016/j.sajb.2016.03.002,,,,,,,,,,,,,WOS:000377302600001,View Full Record in Web of Science
J,"Duiker, SW; Lal, R",,,,"Duiker, SW; Lal, R",,,Carbon budget study using CO2 flux measurements from a no till system in central Ohio,SOIL & TILLAGE RESEARCH,,,,,,,,,,,,"Enhancing carbon sequestration in soil is an important means to reduce net emissions of carbon dioxide (CO,) to the atmosphere. The soil organic carbon (SOC) pool is the net result of carbon (C) input in the form of crop residue and biomass, and output including CO2 flux and other losses. The objectives of this study were to: (1) determine the influence of known additions of crop residue in a no till system on CO2 flux measured with the static chamber alkali-absorption method, and (2) calculate the C budget from the CO2 flux and C added in crop residue. The experiment was started on a Crosby silt loam (Stagnic Luvisol) in 1989. Annually 0, 2, 4, 8 and 16 Mg ha(-1) wheat straw (Triticum aestivum L,) was applied. Noon soil temperature and daily CO2 flux were determined in 1997. Residue application rate had a significant impact on soil temperature as measured at noon, especially early in the growing season. Noon soil temperature was up to 14 degrees C higher under unmulched compared with that of mulched treatments. Measured CO2 flux ranged from 0.4 to 4.2 g C m(-2) per day. Differences in CO2 flux between crop residue treatments were not significant on most sampling dates, probably due to the presence of undecomposed residue in the soil which did not contribute to the CO2 Aux, and to variability in sampling. Average daily soil temperature at 5 cm depth determined on a nearby weather station explained 60% of the variation in CO2 flux from bare plots. The C budget calculated from CO2 flux measurements indicated a net depletion of SOC in all treatments. However, measured SOC contents indicated an increase of SOC over time in some treatments. It is likely that the annual CO2, flux measured with the static chamber alkali-absorption method is overestimated due to omission of CO2 measurements when soil water content is high, and perhaps other, as yet unknown factors. A comparison of the static chamber technique and improved dynamic chamber techniques and micrometeorological methods is recommended. (C) 2000 Elsevier Science B.V. All rights reserved.",,,,,"Lal, Rattan/D-2505-2013","Duiker, Sjoerd Willem/0000-0001-7885-7061",,,,,,,,,,,,,0167-1987,1879-3444,,,,MAR,2000,54,1-2,,,,,21,30,,10.1016/S0167-1987(99)00101-4,http://dx.doi.org/10.1016/S0167-1987(99)00101-4,,,,,,,,,,,,,WOS:000086006200003,View Full Record in Web of Science
